Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Superfície_mitjana_(m2_construïts);Nombre
2021;1;1;Ciutat Vella;1;el Raval;Total;55.6
2021;1;1;Ciutat Vella;2;el Barri Gòtic;Total;85.0
2021;1;1;Ciutat Vella;3;la Barceloneta;Total;44.3
2021;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total;66.4
2021;1;2;Eixample;5;el Fort Pienc;Total;82.9
2021;1;2;Eixample;6;la Sagrada Família;Total;76.7
2021;1;2;Eixample;7;la Dreta de l'Eixample;Total;107.9
2021;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total;92.7
2021;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Total;80.1
2021;1;2;Eixample;10;Sant Antoni;Total;79.2
2021;1;3;Sants-Montjuïc;11;el Poble Sec;Total;59.7
2021;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total;75.9
2021;1;3;Sants-Montjuïc;13;la Marina de Port;Total;70.9
2021;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Total;67.7
2021;1;3;Sants-Montjuïc;15;Hostafrancs;Total;62.6
2021;1;3;Sants-Montjuïc;16;la Bordeta;Total;69.7
2021;1;3;Sants-Montjuïc;17;Sants - Badal;Total;63.4
2021;1;3;Sants-Montjuïc;18;Sants;Total;67.7
2021;1;4;Les Corts;19;les Corts;Total;84.7
2021;1;4;Les Corts;20;la Maternitat i Sant Ramon;Total;85.2
2021;1;4;Les Corts;21;Pedralbes;Total;153.1
2021;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total;144.1
2021;1;5;Sarrià-Sant Gervasi;23;Sarrià;Total;109.8
2021;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total;174.7
2021;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total;135.5
2021;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Total;132.4
2021;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Total;95.1
2021;1;6;Gràcia;28;Vallcarca i els Penitents;Total;89.6
2021;1;6;Gràcia;29;el Coll;Total;70.9
2021;1;6;Gràcia;30;la Salut;Total;73.3
2021;1;6;Gràcia;31;la Vila de Gràcia;Total;80.6
2021;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Total;78.5
2021;1;7;Horta-Guinardó;33;el Baix Guinardó;Total;79.4
2021;1;7;Horta-Guinardó;34;Can Baró;Total;72.0
2021;1;7;Horta-Guinardó;35;el Guinardó;Total;73.7
2021;1;7;Horta-Guinardó;36;la Font d'en Fargues;Total;95.3
2021;1;7;Horta-Guinardó;37;el Carmel;Total;58.6
2021;1;7;Horta-Guinardó;38;la Teixonera;Total;63.3
2021;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Total;87.1
2021;1;7;Horta-Guinardó;40;Montbau;Total;70.4
2021;1;7;Horta-Guinardó;41;la Vall d'Hebron;Total;77.3
2021;1;7;Horta-Guinardó;42;la Clota;Total;--
2021;1;7;Horta-Guinardó;43;Horta;Total;72.9
2021;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Total;69.3
2021;1;8;Nou Barris;45;Porta;Total;61.2
2021;1;8;Nou Barris;46;el Turó de la Peira;Total;63.5
2021;1;8;Nou Barris;47;Can Peguera;Total;74.0
2021;1;8;Nou Barris;48;la Guineueta;Total;78.7
2021;1;8;Nou Barris;49;Canyelles;Total;68.7
2021;1;8;Nou Barris;50;les Roquetes;Total;54.9
2021;1;8;Nou Barris;51;Verdun;Total;60.4
2021;1;8;Nou Barris;52;la Prosperitat;Total;55.3
2021;1;8;Nou Barris;53;la Trinitat Nova;Total;57.0
2021;1;8;Nou Barris;54;Torre Baró;Total;97.3
2021;1;8;Nou Barris;55;Ciutat Meridiana;Total;55.0
2021;1;8;Nou Barris;56;Vallbona;Total;--
2021;1;9;Sant Andreu;57;la Trinitat Vella;Total;53.2
2021;1;9;Sant Andreu;58;Baró de Viver;Total;70.3
2021;1;9;Sant Andreu;59;el Bon Pastor;Total;68.4
2021;1;9;Sant Andreu;60;Sant Andreu;Total;73.5
2021;1;9;Sant Andreu;61;la Sagrera;Total;67.2
2021;1;9;Sant Andreu;62;el Congrés i els Indians;Total;69.1
2021;1;9;Sant Andreu;63;Navas;Total;71.6
2021;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Total;67.1
2021;1;10;Sant Martí;65;el Clot;Total;67.1
2021;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Total;72.5
2021;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Total;103.6
2021;1;10;Sant Martí;68;el Poblenou;Total;73.3
2021;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Total;96.4
2021;1;10;Sant Martí;70;el Besòs i el Maresme;Total;63.8
2021;1;10;Sant Martí;71;Provençals del Poblenou;Total;74.2
2021;1;10;Sant Martí;72;Sant Martí de Provençals;Total;76.6
2021;1;10;Sant Martí;73;la Verneda i la Pau;Total;73.1
2021;1;1;Ciutat Vella;1;el Raval;Habitatge nou lliure;66.0
2021;1;1;Ciutat Vella;2;el Barri Gòtic;Habitatge nou lliure;44.0
2021;1;1;Ciutat Vella;3;la Barceloneta;Habitatge nou lliure;35.0
2021;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Habitatge nou lliure;96.5
2021;1;2;Eixample;5;el Fort Pienc;Habitatge nou lliure;101.5
2021;1;2;Eixample;6;la Sagrada Família;Habitatge nou lliure;62.3
2021;1;2;Eixample;7;la Dreta de l'Eixample;Habitatge nou lliure;180.0
2021;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Habitatge nou lliure;106.3
2021;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Habitatge nou lliure;79.3
2021;1;2;Eixample;10;Sant Antoni;Habitatge nou lliure;--
2021;1;3;Sants-Montjuïc;11;el Poble Sec;Habitatge nou lliure;65.8
2021;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Habitatge nou lliure;--
2021;1;3;Sants-Montjuïc;13;la Marina de Port;Habitatge nou lliure;--
2021;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Habitatge nou lliure;--
2021;1;3;Sants-Montjuïc;15;Hostafrancs;Habitatge nou lliure;55.0
2021;1;3;Sants-Montjuïc;16;la Bordeta;Habitatge nou lliure;83.0
2021;1;3;Sants-Montjuïc;17;Sants - Badal;Habitatge nou lliure;75.2
2021;1;3;Sants-Montjuïc;18;Sants;Habitatge nou lliure;61.7
2021;1;4;Les Corts;19;les Corts;Habitatge nou lliure;91.9
2021;1;4;Les Corts;20;la Maternitat i Sant Ramon;Habitatge nou lliure;--
2021;1;4;Les Corts;21;Pedralbes;Habitatge nou lliure;--
2021;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Habitatge nou lliure;400.0
2021;1;5;Sarrià-Sant Gervasi;23;Sarrià;Habitatge nou lliure;100.0
2021;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Habitatge nou lliure;--
2021;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Habitatge nou lliure;153.8
2021;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Habitatge nou lliure;113.0
2021;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Habitatge nou lliure;92.7
2021;1;6;Gràcia;28;Vallcarca i els Penitents;Habitatge nou lliure;111.6
2021;1;6;Gràcia;29;el Coll;Habitatge nou lliure;75.0
2021;1;6;Gràcia;30;la Salut;Habitatge nou lliure;--
2021;1;6;Gràcia;31;la Vila de Gràcia;Habitatge nou lliure;60.0
2021;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Habitatge nou lliure;--
2021;1;7;Horta-Guinardó;33;el Baix Guinardó;Habitatge nou lliure;--
2021;1;7;Horta-Guinardó;34;Can Baró;Habitatge nou lliure;--
2021;1;7;Horta-Guinardó;35;el Guinardó;Habitatge nou lliure;79.1
2021;1;7;Horta-Guinardó;36;la Font d'en Fargues;Habitatge nou lliure;--
2021;1;7;Horta-Guinardó;37;el Carmel;Habitatge nou lliure;57.1
2021;1;7;Horta-Guinardó;38;la Teixonera;Habitatge nou lliure;69.0
2021;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Habitatge nou lliure;53.0
2021;1;7;Horta-Guinardó;40;Montbau;Habitatge nou lliure;63.0
2021;1;7;Horta-Guinardó;41;la Vall d'Hebron;Habitatge nou lliure;61.0
2021;1;7;Horta-Guinardó;42;la Clota;Habitatge nou lliure;--
2021;1;7;Horta-Guinardó;43;Horta;Habitatge nou lliure;97.9
2021;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Habitatge nou lliure;64.0
2021;1;8;Nou Barris;45;Porta;Habitatge nou lliure;--
2021;1;8;Nou Barris;46;el Turó de la Peira;Habitatge nou lliure;--
2021;1;8;Nou Barris;47;Can Peguera;Habitatge nou lliure;--
2021;1;8;Nou Barris;48;la Guineueta;Habitatge nou lliure;--
2021;1;8;Nou Barris;49;Canyelles;Habitatge nou lliure;--
2021;1;8;Nou Barris;50;les Roquetes;Habitatge nou lliure;--
2021;1;8;Nou Barris;51;Verdun;Habitatge nou lliure;50.0
2021;1;8;Nou Barris;52;la Prosperitat;Habitatge nou lliure;--
2021;1;8;Nou Barris;53;la Trinitat Nova;Habitatge nou lliure;--
2021;1;8;Nou Barris;54;Torre Baró;Habitatge nou lliure;--
2021;1;8;Nou Barris;55;Ciutat Meridiana;Habitatge nou lliure;--
2021;1;8;Nou Barris;56;Vallbona;Habitatge nou lliure;--
2021;1;9;Sant Andreu;57;la Trinitat Vella;Habitatge nou lliure;--
2021;1;9;Sant Andreu;58;Baró de Viver;Habitatge nou lliure;--
2021;1;9;Sant Andreu;59;el Bon Pastor;Habitatge nou lliure;--
2021;1;9;Sant Andreu;60;Sant Andreu;Habitatge nou lliure;78.6
2021;1;9;Sant Andreu;61;la Sagrera;Habitatge nou lliure;--
2021;1;9;Sant Andreu;62;el Congrés i els Indians;Habitatge nou lliure;56.0
2021;1;9;Sant Andreu;63;Navas;Habitatge nou lliure;--
2021;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Habitatge nou lliure;--
2021;1;10;Sant Martí;65;el Clot;Habitatge nou lliure;--
2021;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Habitatge nou lliure;74.3
2021;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Habitatge nou lliure;127.0
2021;1;10;Sant Martí;68;el Poblenou;Habitatge nou lliure;114.5
2021;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Habitatge nou lliure;--
2021;1;10;Sant Martí;70;el Besòs i el Maresme;Habitatge nou lliure;82.9
2021;1;10;Sant Martí;71;Provençals del Poblenou;Habitatge nou lliure;74.3
2021;1;10;Sant Martí;72;Sant Martí de Provençals;Habitatge nou lliure;--
2021;1;10;Sant Martí;73;la Verneda i la Pau;Habitatge nou lliure;--
2021;1;1;Ciutat Vella;1;el Raval;Habitatge nou protegit;--
2021;1;1;Ciutat Vella;2;el Barri Gòtic;Habitatge nou protegit;--
2021;1;1;Ciutat Vella;3;la Barceloneta;Habitatge nou protegit;--
2021;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Habitatge nou protegit;--
2021;1;2;Eixample;5;el Fort Pienc;Habitatge nou protegit;--
2021;1;2;Eixample;6;la Sagrada Família;Habitatge nou protegit;--
2021;1;2;Eixample;7;la Dreta de l'Eixample;Habitatge nou protegit;--
2021;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Habitatge nou protegit;--
2021;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Habitatge nou protegit;89.0
