Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2020;1;6;Gràcia;31;la Vila de Gràcia;Nou. Milers d'euros;436.0
2020;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Nou. Milers d'euros;
2020;1;7;Horta-Guinardó;33;el Baix Guinardó;Nou. Milers d'euros;
2020;1;7;Horta-Guinardó;34;Can Baró;Nou. Milers d'euros;
2020;1;7;Horta-Guinardó;35;el Guinardó;Nou. Milers d'euros;335.5
2020;1;7;Horta-Guinardó;36;la Font d'en Fargues;Nou. Milers d'euros;400.0
2020;1;7;Horta-Guinardó;37;el Carmel;Nou. Milers d'euros;193.6
2020;1;7;Horta-Guinardó;38;la Teixonera;Nou. Milers d'euros;168.8
2020;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Nou. Milers d'euros;
2020;1;7;Horta-Guinardó;40;Montbau;Nou. Milers d'euros;179.0
2020;1;7;Horta-Guinardó;41;la Vall d'Hebron;Nou. Milers d'euros;190.0
2020;1;7;Horta-Guinardó;42;la Clota;Nou. Milers d'euros;
2020;1;7;Horta-Guinardó;43;Horta;Nou. Milers d'euros;368.2
2020;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Nou. Milers d'euros;
2020;1;8;Nou Barris;45;Porta;Nou. Milers d'euros;
2020;1;8;Nou Barris;46;el Turó de la Peira;Nou. Milers d'euros;
2020;1;8;Nou Barris;47;Can Peguera;Nou. Milers d'euros;
2020;1;8;Nou Barris;48;la Guineueta;Nou. Milers d'euros;
2020;1;8;Nou Barris;49;Canyelles;Nou. Milers d'euros;
2020;1;8;Nou Barris;50;les Roquetes;Nou. Milers d'euros;
2020;1;8;Nou Barris;51;Verdun;Nou. Milers d'euros;280.5
2020;1;8;Nou Barris;52;la Prosperitat;Nou. Milers d'euros;
2020;1;8;Nou Barris;53;la Trinitat Nova;Nou. Milers d'euros;
2020;1;8;Nou Barris;54;Torre Baró;Nou. Milers d'euros;
2020;1;8;Nou Barris;55;Ciutat Meridiana;Nou. Milers d'euros;
2020;1;8;Nou Barris;56;Vallbona;Nou. Milers d'euros;
2020;1;9;Sant Andreu;57;la Trinitat Vella;Nou. Milers d'euros;
2020;1;9;Sant Andreu;58;Baró de Viver;Nou. Milers d'euros;
2020;1;9;Sant Andreu;59;el Bon Pastor;Nou. Milers d'euros;
2020;1;9;Sant Andreu;60;Sant Andreu;Nou. Milers d'euros;266.6
2020;1;9;Sant Andreu;61;la Sagrera;Nou. Milers d'euros;
2020;1;9;Sant Andreu;62;el Congrés i els Indians;Nou. Milers d'euros;230.0
2020;1;9;Sant Andreu;63;Navas;Nou. Milers d'euros;560.2
2020;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Nou. Milers d'euros;550.2
2020;1;10;Sant Martí;65;el Clot;Nou. Milers d'euros;423.2
2020;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Nou. Milers d'euros;
2020;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Nou. Milers d'euros;
2020;1;10;Sant Martí;68;el Poblenou;Nou. Milers d'euros;420.1
2020;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Nou. Milers d'euros;
2020;1;10;Sant Martí;70;el Besòs i el Maresme;Nou. Milers d'euros;539.5
2020;1;10;Sant Martí;71;Provençals del Poblenou;Nou. Milers d'euros;228.0
