Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Superfície_mitjana_(m2_construïts);Nombre
2020;1;1;Ciutat Vella;1;el Raval;Total;53.9
2020;1;1;Ciutat Vella;2;el Barri Gòtic;Total;104.0
2020;1;1;Ciutat Vella;3;la Barceloneta;Total;47.1
2020;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total;69.8
2020;1;2;Eixample;5;el Fort Pienc;Total;92.5
2020;1;2;Eixample;6;la Sagrada Família;Total;60.1
2020;1;2;Eixample;7;la Dreta de l'Eixample;Total;101.6
2020;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total;91.7
2020;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Total;71.3
2020;1;2;Eixample;10;Sant Antoni;Total;81.1
2020;1;3;Sants-Montjuïc;11;el Poble Sec;Total;57.4
2020;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total;79.0
2020;1;3;Sants-Montjuïc;13;la Marina de Port;Total;68.8
2020;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Total;63.4
2020;1;3;Sants-Montjuïc;15;Hostafrancs;Total;67.1
2020;1;3;Sants-Montjuïc;16;la Bordeta;Total;69.4
2020;1;3;Sants-Montjuïc;17;Sants - Badal;Total;68.0
2020;1;3;Sants-Montjuïc;18;Sants;Total;69.8
2020;1;4;Les Corts;19;les Corts;Total;81.9
2020;1;4;Les Corts;20;la Maternitat i Sant Ramon;Total;86.5
2020;1;4;Les Corts;21;Pedralbes;Total;132.9
2020;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total;267.3
2020;1;5;Sarrià-Sant Gervasi;23;Sarrià;Total;116.2
2020;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total;138.6
2020;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total;129.5
2020;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Total;124.9
2020;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Total;106.4
2020;1;6;Gràcia;28;Vallcarca i els Penitents;Total;90.5
2020;1;6;Gràcia;29;el Coll;Total;95.7
