Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2021;1;1;Ciutat Vella;1;el Raval;Total. Milers d'euros;167.5
2021;1;1;Ciutat Vella;2;el Barri Gòtic;Total. Milers d'euros;298.7
2021;1;1;Ciutat Vella;3;la Barceloneta;Total. Milers d'euros;184.7
2021;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total. Milers d'euros;254.6
2021;1;2;Eixample;5;el Fort Pienc;Total. Milers d'euros;301.8
2021;1;2;Eixample;6;la Sagrada Família;Total. Milers d'euros;306.5
2021;1;2;Eixample;7;la Dreta de l'Eixample;Total. Milers d'euros;661.2
2021;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total. Milers d'euros;429.5
2021;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Total. Milers d'euros;334.9
2021;1;2;Eixample;10;Sant Antoni;Total. Milers d'euros;337.9
2021;1;3;Sants-Montjuïc;11;el Poble Sec;Total. Milers d'euros;248.5
2021;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total. Milers d'euros;274.9
2021;1;3;Sants-Montjuïc;13;la Marina de Port;Total. Milers d'euros;213.9
2021;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Total. Milers d'euros;250.5
2021;1;3;Sants-Montjuïc;15;Hostafrancs;Total. Milers d'euros;258.4
2021;1;3;Sants-Montjuïc;16;la Bordeta;Total. Milers d'euros;209.4
2021;1;3;Sants-Montjuïc;17;Sants - Badal;Total. Milers d'euros;239.8
2021;1;3;Sants-Montjuïc;18;Sants;Total. Milers d'euros;276.8
2021;1;4;Les Corts;19;les Corts;Total. Milers d'euros;425.5
2021;1;4;Les Corts;20;la Maternitat i Sant Ramon;Total. Milers d'euros;343.2
2021;1;4;Les Corts;21;Pedralbes;Total. Milers d'euros;984.0
2021;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total. Milers d'euros;393.9
2021;1;5;Sarrià-Sant Gervasi;23;Sarrià;Total. Milers d'euros;576.7
2021;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total. Milers d'euros;1005.4
2021;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total. Milers d'euros;863.8
2021;1;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Total. Milers d'euros;923.4
2021;1;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Total. Milers d'euros;443.7
2021;1;6;Gràcia;28;Vallcarca i els Penitents;Total. Milers d'euros;383.5
2021;1;6;Gràcia;29;el Coll;Total. Milers d'euros;207.3
2021;1;6;Gràcia;30;la Salut;Total. Milers d'euros;289.6
2021;1;6;Gràcia;31;la Vila de Gràcia;Total. Milers d'euros;345.3
2021;1;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Total. Milers d'euros;364.8
2021;1;7;Horta-Guinardó;33;el Baix Guinardó;Total. Milers d'euros;217.9
2021;1;7;Horta-Guinardó;34;Can Baró;Total. Milers d'euros;224.7
2021;1;7;Horta-Guinardó;35;el Guinardó;Total. Milers d'euros;207.3
2021;1;7;Horta-Guinardó;36;la Font d'en Fargues;Total. Milers d'euros;358.3
2021;1;7;Horta-Guinardó;37;el Carmel;Total. Milers d'euros;136.8
2021;1;7;Horta-Guinardó;38;la Teixonera;Total. Milers d'euros;170.1
2021;1;7;Horta-Guinardó;39;Sant Genís dels Agudells;Total. Milers d'euros;156.5
2021;1;7;Horta-Guinardó;40;Montbau;Total. Milers d'euros;170.7
2021;1;7;Horta-Guinardó;41;la Vall d'Hebron;Total. Milers d'euros;236.7
2021;1;7;Horta-Guinardó;42;la Clota;Total. Milers d'euros;--
2021;1;7;Horta-Guinardó;43;Horta;Total. Milers d'euros;260.3
2021;1;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Total. Milers d'euros;227.3
2021;1;8;Nou Barris;45;Porta;Total. Milers d'euros;142.9
2021;1;8;Nou Barris;46;el Turó de la Peira;Total. Milers d'euros;141.6
2021;1;8;Nou Barris;47;Can Peguera;Total. Milers d'euros;215.0
2021;1;8;Nou Barris;48;la Guineueta;Total. Milers d'euros;195.5
2021;1;8;Nou Barris;49;Canyelles;Total. Milers d'euros;209.5
2021;1;8;Nou Barris;50;les Roquetes;Total. Milers d'euros;123.8
2021;1;8;Nou Barris;51;Verdun;Total. Milers d'euros;156.3
2021;1;8;Nou Barris;52;la Prosperitat;Total. Milers d'euros;145.1
2021;1;8;Nou Barris;53;la Trinitat Nova;Total. Milers d'euros;105.1
2021;1;8;Nou Barris;54;Torre Baró;Total. Milers d'euros;288.5
2021;1;8;Nou Barris;55;Ciutat Meridiana;Total. Milers d'euros;50.2
2021;1;8;Nou Barris;56;Vallbona;Total. Milers d'euros;--
2021;1;9;Sant Andreu;57;la Trinitat Vella;Total. Milers d'euros;--
2021;1;9;Sant Andreu;58;Baró de Viver;Total. Milers d'euros;--
2021;1;9;Sant Andreu;59;el Bon Pastor;Total. Milers d'euros;144.1
2021;1;9;Sant Andreu;60;Sant Andreu;Total. Milers d'euros;346.8
2021;1;9;Sant Andreu;61;la Sagrera;Total. Milers d'euros;242.4
2021;1;9;Sant Andreu;62;el Congrés i els Indians;Total. Milers d'euros;364.8
2021;1;9;Sant Andreu;63;Navas;Total. Milers d'euros;271.2
2021;1;10;Sant Martí;64;el Camp de l'Arpa del Clot;Total. Milers d'euros;217.3
2021;1;10;Sant Martí;65;el Clot;Total. Milers d'euros;222.2
2021;1;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Total. Milers d'euros;273.8
2021;1;10;Sant Martí;67;la Vila Olímpica del Poblenou;Total. Milers d'euros;471.9
2021;1;10;Sant Martí;68;el Poblenou;Total. Milers d'euros;323.9
2021;1;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Total. Milers d'euros;402.5
2021;1;10;Sant Martí;70;el Besòs i el Maresme;Total. Milers d'euros;162.8
