Any;Trimestre;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Preu_mitja_habitatge;Valor
2022;1;1;Ciutat Vella;1;el Raval;Total. Milers d'euros;226.1
2022;1;1;Ciutat Vella;2;el Barri Gòtic;Total. Milers d'euros;453.0
2022;1;1;Ciutat Vella;3;la Barceloneta;Total. Milers d'euros;215.4
2022;1;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Total. Milers d'euros;353.3
2022;1;2;Eixample;5;el Fort Pienc;Total. Milers d'euros;340.0
2022;1;2;Eixample;6;la Sagrada Família;Total. Milers d'euros;301.0
2022;1;2;Eixample;7;la Dreta de l'Eixample;Total. Milers d'euros;755.8
2022;1;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Total. Milers d'euros;470.3
2022;1;2;Eixample;9;la Nova Esquerra de l'Eixample;Total. Milers d'euros;328.1
2022;1;2;Eixample;10;Sant Antoni;Total. Milers d'euros;370.6
2022;1;3;Sants-Montjuïc;11;el Poble Sec;Total. Milers d'euros;253.1
2022;1;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Total. Milers d'euros;--
2022;1;3;Sants-Montjuïc;13;la Marina de Port;Total. Milers d'euros;228.6
2022;1;3;Sants-Montjuïc;14;la Font de la Guatlla;Total. Milers d'euros;237.8
2022;1;3;Sants-Montjuïc;15;Hostafrancs;Total. Milers d'euros;250.7
2022;1;3;Sants-Montjuïc;16;la Bordeta;Total. Milers d'euros;211.6
2022;1;3;Sants-Montjuïc;17;Sants - Badal;Total. Milers d'euros;245.0
2022;1;3;Sants-Montjuïc;18;Sants;Total. Milers d'euros;264.0
2022;1;4;Les Corts;19;les Corts;Total. Milers d'euros;459.5
2022;1;4;Les Corts;20;la Maternitat i Sant Ramon;Total. Milers d'euros;346.7
2022;1;4;Les Corts;21;Pedralbes;Total. Milers d'euros;783.2
2022;1;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Total. Milers d'euros;353.8
2022;1;5;Sarrià-Sant Gervasi;23;Sarrià;Total. Milers d'euros;736.5
2022;1;5;Sarrià-Sant Gervasi;24;les Tres Torres;Total. Milers d'euros;896.7
2022;1;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Total. Milers d'euros;706.1
