"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"139","Clint Capela","Atl","C","28.8","50","26.8","16.1","8.5","98","0.592","428","0.638","1","0","0.636","0.64","12.1","11.1","0.9","0.7","1.2","0.8","23.2","13","24.1","7.4","135.8","107.2"
"140","Bones Hyland","Den","G","22.5","42","19.5","28.4","13.4","82","0.866","193","0.425","241","0.378","0.503","0.54","12.1","2","3","0.7","0.3","1.6","14.1","15.1","17.1","8.6","106.2","109.8"
"141","Kelly Olynyk","Uta","F-C","31.9","54","28.3","17.4","22.2","184","0.837","242","0.566","189","0.397","0.579","0.638","12.1","5.6","3.2","0.9","0.6","2.3","17.6","15.3","20.9","8.5","117.8","105.3"
"142","Jakob Poeltl","San","C","27.4","46","26.1","18.7","19.8","129","0.605","387","0.618","1","0","0.616","0.625","12.1","9","3.1","0.8","1.1","2.1","21.1","15.2","24.2","10.7","119.3","110.9"
"143","Kyle Lowry","Mia","G","37","44","33.3","17.1","16.9","117","0.855","157","0.503","270","0.333","0.501","0.552","12","4.3","5.3","1.1","0.4","2","16.3","17.3","21.6","7.8","112.8","106.8"
"144","Kenyon Martin Jr.","Hou","F","22.2","65","26.9","16.5","12.2","162","0.667","376","0.676","172","0.314","0.611","0.628","12","5.6","1.6","0.5","0.4","1.2","17.6","13.5","19.2","7.1","123.2","115.1"
"145","Derrick White","Bos","G","28.7","67","27.9","17.7","10.8","152","0.868","304","0.543","309","0.372","0.551","0.593","12","3.4","3.9","0.7","0.9","1.1","15.4","15.9","19.3","7.8","123.4","107.8"
"146","Keegan Murray","Sac","F","22.6","62","29.9","15.6","7.7","66","0.803","221","0.511","374","0.409","0.576","0.591","11.9","4.6","1.2","0.8","0.5","0.8","16.5","13.1","17.7","5.4","117.7","113"
"147","Max Strus","Mia","G-F","26.9","65","29.3","17.9","8.2","84","0.881","200","0.56","475","0.335","0.519","0.544","11.9","3.4","2.2","0.6","0.2","0.9","15.4","14.1","17.5","6.1","111.1","109"
"148","James Wiseman","Det","C","21.9","8","25.7","19.9","20.2","16","0.625","65","0.631","6","0.167","0.599","0.609","11.9","7.8","0.8","0.3","1","2.3","19.6","12.6","20.4","6.5","104","107"
"149","Jabari Smith Jr.","Hou","F","19.8","62","30","18.3","11.7","152","0.789","348","0.474","318","0.296","0.459","0.499","11.8","6.9","1.2","0.5","0.9","1.4","18.7","13","19.9","6.1","103.1","111.1"
"150","Marcus Morris Sr.","Lac","F","33.5","58","28.4","18.1","8.1","84","0.786","307","0.482","286","0.371","0.518","0.54","11.7","4.1","1.8","0.7","0.4","0.9","15.8","13.5","17.6","6.2","108.8","110.1"
"151","Marvin Bagley III","Det","F","24","31","22.7","20.6","10.7","76","0.711","232","0.595","42","0.238","0.558","0.585","11.6","6.9","0.7","0.5","0.8","1.1","18.5","12.4","19.2","6.7","118.2","111"
"152","Jaden McDaniels","Min","F","22.4","64","30.6","15.2","14.1","103","0.738","346","0.598","213","0.385","0.59","0.609","11.5","3.9","2","1","1","1.4","15.4","13.5","17.4","5.9","115.6","107.8"
"153","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","111","116.9"
"154","Caris LeVert","Cle","G","28.5","62","29.9","19","13.9","149","0.718","363","0.446","256","0.359","0.485","0.516","11.4","4","3.9","0.8","0.3","1.6","15.4","15.3","19.3","7.5","107.4","106.2"
"155","Marcus Smart","Bos","G","29","50","32.4","17.6","19.8","99","0.768","215","0.516","271","0.336","0.509","0.539","11.4","3.4","6.6","1.5","0.4","2.4","14.8","18","21.3","7.8","111.3","106.6"
"156","John Wall","Lac","G","32.5","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102","109.5"
"157","Isaiah Stewart","Det","F-C","21.8","50","28.3","17.3","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.8","110.4"
"158","Kentavious Caldwell-Pope","Den","G","30.1","63","31.5","14.3","12.2","102","0.833","264","0.508","268","0.44","0.585","0.613","11.2","2.8","2.5","1.4","0.4","1.2","14","13.7","16.5","5.4","118.5","111.3"
"159","Josh Hart","Nyk","G","28","10","28.9","13.5","17.7","27","0.667","42","0.619","23","0.609","0.723","0.728","11.2","5.9","3.1","1.1","0.5","1.4","17.1","14.3","20.2","8.2","136.6","104.2"
"160","Cameron Payne","Pho","G","28.6","34","22.3","25","16.4","53","0.736","202","0.446","150","0.36","0.486","0.508","11.2","2.3","4.9","0.8","0.2","2","13.5","16.1","18.4","9","104","108.1"
"161","Terrence Ross","Pho","G-F","32.1","5","20.3","18.8","0","4","0.75","15","0.667","28","0.393","0.616","0.626","11.2","3","1.8","0.6","0","0","14.2","13","16","7.7","136.2","103.3"
"162","Moritz Wagner","Orl","F-C","25.9","45","20.9","20.9","14.3","149","0.846","191","0.639","144","0.313","0.566","0.63","11.2","4.7","1.6","0.8","0.2","1.2","16","12.9","17.6","8.4","123.1","102.5"
"163","Bruce Brown","Den","G-F","26.6","65","28.3","17.3","14.8","96","0.729","366","0.549","223","0.377","0.555","0.573","11.1","4","3.4","1","0.6","1.6","15.1","14.6","18.5","7.5","112.7","108.9"
"164","Saddiq Bey","Atl","F","23.9","9","26.4","14.7","7.7","11","0.909","27","0.481","45","0.467","0.618","0.644","11","4.3","1.1","0.7","0.1","0.7","15.3","12.1","16.4","5.7","129.6","113.7"
"165","Austin Reaves","Lal","G","24.8","48","27.6","14.8","16.2","150","0.867","176","0.608","159","0.39","0.597","0.661","11","2.9","2.6","0.6","0.4","1.4","13.9","13.6","16.5","6.3","124.4","112.4"
"166","Reggie Jackson","Lac","G","32.9","52","25.7","20.8","15.8","66","0.924","292","0.469","220","0.35","0.493","0.523","10.9","2.2","3.5","0.7","0.1","1.8","13.1","14.4","16.6","6.8","103.1","112"
"167","Jaylen Nowell","Min","G","23.7","62","19.5","24.9","9.4","97","0.784","374","0.537","224","0.295","0.502","0.528","10.9","2.6","2","0.6","0.1","1","13.5","12.9","15.6","7.9","106.4","111"
"168","Cam Thomas","Bro","G","21.4","47","17","27.6","11.5","157","0.854","271","0.465","107","0.383","0.496","0.569","10.8","1.7","1.6","0.4","0.1","1","12.6","12.4","14.1","7.3","110","113.9"
"169","Mike Conley","Uta","G","35.4","43","29.7","16.1","16.5","96","0.813","162","0.469","213","0.362","0.511","0.552","10.7","2.5","7.7","1","0.2","1.7","13.2","18.4","20.9","8","123.3","113.5"
"170","Naz Reid","Min","C-F","23.5","59","18.1","23.9","14.1","101","0.653","287","0.659","187","0.337","0.598","0.61","10.7","4.9","1.1","0.6","0.8","1.3","15.6","11.9","16.8","8.5","112.2","100.2"
"171","Grayson Allen","Mil","G","27.4","61","27.7","14.5","11.7","109","0.899","167","0.515","306","0.412","0.581","0.622","10.6","3.3","2.4","0.8","0.2","1","13.9","13","16.3","6.3","125.3","108.8"
"172","Mike Conley","Min","G","35.4","9","30.1","15","12.3","14","0.929","31","0.452","47","0.383","0.526","0.564","10.6","2.8","4.9","1.2","0.1","1.2","13.3","15.4","18.2","7","119.7","115.4"
"173","Jalen McDaniels","Cha","F-C","25.1","56","26.7","17.3","13.8","104","0.846","292","0.534","202","0.322","0.513","0.551","10.6","4.8","2","1.2","0.5","1.4","15.4","12.6","17.4","7","106.7","106.7"
"174","Jeremy Sochan","San","F","19.8","52","26.2","19.4","14.9","107","0.701","383","0.507","119","0.244","0.473","0.501","10.6","5.1","2.6","0.8","0.4","1.7","15.7","13.1","18.3","7.9","102.5","113.8"
"175","Jordan Nwora","Ind","F","24.5","8","20.3","20.6","6.6","10","0.6","40","0.55","30","0.367","0.55","0.558","10.4","3.6","2.1","0.6","0.1","0.6","14","12.5","16.1","8.4","115.3","115.1"
"176","Victor Oladipo","Mia","G","30.8","34","27.4","20","17.6","69","0.754","160","0.475","162","0.309","0.469","0.502","10.4","3.3","3.5","1.4","0.3","2","13.7","13.9","17.2","7.2","98.2","104.7"
"177","Zach Collins","San","F-C","25.3","53","21.8","20.2","19.4","112","0.75","313","0.569","101","0.356","0.56","0.591","10.3","6.1","2.7","0.5","0.7","1.9","16.4","13.1","19.1","10.2","112.4","106.8"
"178","Monte Morris","Was","G","27.7","52","27.9","15.2","10.5","67","0.806","254","0.531","173","0.405","0.562","0.585","10.3","3.4","5.3","0.7","0.2","1","13.7","15.5","18.9","8.2","126.3","114.2"
"179","Patrick Williams","Chi","F","21.5","66","28.7","15.4","13.3","87","0.862","323","0.514","220","0.414","0.557","0.585","10.3","4.2","1.3","0.8","0.8","1.3","14.5","11.6","15.8","5.3","110.3","109.9"
"180","Ivica Zubac","Lac","C","26","62","29.1","14.3","20.6","189","0.704","402","0.627","2","0","0.624","0.654","10.3","10.1","1.1","0.4","1.3","1.7","20.3","11.3","21.4","6.7","124.4","104.9"
"181","Caleb Martin","Mia","F","27.4","57","29.8","14.9","12.4","95","0.789","262","0.534","203","0.374","0.546","0.575","10.2","5","1.6","1","0.5","1.2","15.2","11.8","16.8","5.8","113.3","107.9"
"182","De'Anthony Melton","Phi","G","24.8","62","28.2","16.5","13.8","68","0.809","204","0.466","328","0.396","0.545","0.565","10.2","4.1","2.7","1.6","0.5","1.4","14.4","12.9","17","6.9","111.2","105.9"
"183","Eric Gordon","Lac","G","34.2","9","24.9","16.1","9.4","20","0.8","28","0.536","39","0.385","0.56","0.6","10.1","1.9","2.3","0.7","0.6","0.8","12","12.4","14.3","5.7","121.4","112.7"
"184","Brandon Clarke","Mem","F","26.5","56","19.5","17.5","13.6","137","0.723","343","0.665","6","0.167","0.658","0.682","10","5.5","1.3","0.6","0.7","1","15.5","11.3","16.8","8.5","131","99.8"
"185","Al Horford","Bos","C-F","36.8","52","31","11.9","7.2","19","0.737","138","0.543","260","0.454","0.633","0.637","10","6.3","2.8","0.5","0.9","0.6","16.3","12.8","19.1","7.2","133.5","108.6"
"186","Seth Curry","Bro","G","32.5","47","21.7","19.4","11","42","0.976","181","0.53","198","0.394","0.562","0.587","9.9","1.8","1.9","0.7","0.1","1","11.7","11.9","13.7","6","111.5","112"
"187","Quentin Grimes","Nyk","G","22.8","56","29.4","13.7","11","77","0.792","146","0.623","291","0.357","0.565","0.589","9.9","3.2","1.9","0.6","0.4","1","13.1","11.8","15","5.3","119.5","110"
"188","Tyus Jones","Mem","G","26.8","64","23","17.8","9.1","77","0.818","299","0.478","248","0.383","0.522","0.546","9.9","2.2","4.6","1","0.1","0.9","12.1","14.5","16.7","8.1","121.3","113.8"
"189","Rui Hachimura","Lal","F","25.1","18","24.5","16.9","5.1","45","0.711","109","0.514","40","0.275","0.487","0.524","9.8","5.3","0.7","0.2","0.4","0.4","15.1","10.5","15.8","5.4","111.9","114.1"
"190","Doug McDermott","San","F","31.2","55","20.4","18.8","10.5","51","0.745","189","0.519","246","0.411","0.574","0.587","9.8","2.1","1.4","0.2","0.1","0.9","11.9","11.2","13.3","6","111.8","117"
"191","Chris Boucher","Tor","F-C","30.2","61","20.3","18.1","6.7","147","0.741","272","0.592","158","0.335","0.559","0.596","9.7","5.7","0.4","0.7","0.8","0.5","15.4","10.1","15.8","5.5","127.2","106.8"
"192","Bol Bol","Orl","C-F","23.3","61","22.3","18.1","19.2","94","0.745","335","0.642","93","0.312","0.604","0.625","9.6","6","0.9","0.4","1.3","1.7","15.6","10.5","16.5","6.7","108.5","109.7"
"193","Aaron Nesmith","Ind","G-F","23.4","57","24.4","16.6","10.5","103","0.864","213","0.493","238","0.349","0.509","0.552","9.6","3.7","1.2","0.8","0.4","0.9","13.3","10.8","14.5","5.7","109.7","106.8"
"194","Precious Achiuwa","Tor","F","23.5","43","22.3","18.9","13.3","108","0.694","246","0.549","81","0.259","0.509","0.545","9.5","6.2","1","0.6","0.6","1.2","15.7","10.5","16.7","7","110.5","107.1"
"195","Josh Hart","Por","G","28","51","33.4","12.7","17.9","119","0.731","251","0.594","112","0.304","0.551","0.586","9.5","8.2","3.9","1.1","0.2","1.5","17.7","13.5","21.6","8.1","122.3","110.5"
"196","Killian Hayes","Det","G","21.6","60","26.9","19.9","16.6","63","0.794","379","0.414","228","0.298","0.427","0.447","9.5","2.7","5.9","1.4","0.4","2","12.2","15.4","18.1","7.9","98.4","110"
"197","Herbert Jones","Nor","F","24.4","50","29.1","14.8","14.1","127","0.748","258","0.519","127","0.291","0.492","0.538","9.5","4.1","2.3","1.6","0.7","1.3","13.5","11.8","15.9","6.2","111.3","104.4"
"198","Corey Kispert","Was","F","24","58","27.4","12.7","9.6","59","0.864","131","0.618","263","0.43","0.636","0.657","9.5","2.7","1.2","0.5","0.1","0.7","12.2","10.7","13.4","4.6","124.3","115.7"
"199","Naji Marshall","Nor","F","25.1","61","24.7","17.3","13.4","146","0.788","285","0.509","188","0.309","0.49","0.539","9.5","3.8","2.5","0.8","0.2","1.2","13.2","12","15.8","7.3","110.1","110.7"
"200","Landry Shamet","Pho","G","26","30","21.4","19.4","10.6","45","0.911","80","0.388","163","0.374","0.504","0.544","9.5","1.7","2.2","0.6","0.2","1","11.2","11.8","13.5","6.1","111.6","111.4"
"201","T.J. Warren","Bro","F","29.5","26","18.9","21","7.8","33","0.818","152","0.566","48","0.333","0.55","0.576","9.5","2.8","1.1","0.6","0.3","0.7","12.3","10.6","13.4","6.5","112.4","109.1"
"202","Malaki Branham","San","F","19.8","50","22.6","18.1","11.8","50","0.8","238","0.546","179","0.313","0.513","0.533","9.4","2.4","2","0.5","0.1","1.1","11.8","11.4","13.8","6.3","105.1","117.5"
"203","Dario Saric","Okc","F","28.9","10","14","21.4","17.1","18","0.889","28","0.75","25","0.48","0.736","0.772","9.4","3.4","0.7","0.2","0","1.1","12.8","10.1","13.5","8.1","131.1","104.3"
"204","Jalen Suggs","Orl","G","21.8","41","23.6","20","18.6","90","0.711","186","0.5","147","0.306","0.482","0.517","9.4","2.9","3.2","1.2","0.5","1.9","12.3","12.6","15.5","7.5","103.1","106.7"
"205","Hamidou Diallo","Det","G","24.6","56","17.8","21.8","15.9","148","0.588","354","0.593","21","0.238","0.58","0.593","9.3","3.5","1","0.9","0.3","1.3","12.8","10.3","13.8","7.2","109.5","106.8"
"206","Donte DiVincenzo","Gol","G","26.1","56","26.3","14.8","16.5","51","0.843","124","0.476","290","0.41","0.574","0.593","9.3","4.4","3.4","1.4","0.2","1.5","13.7","12.7","17.1","7.9","117.1","110"
"207","Onyeka Okongwu","Atl","F-C","22.2","64","23.6","14.4","14.3","138","0.739","383","0.634","7","0.286","0.631","0.659","9.3","7.1","1","0.7","1.3","1","16.4","10.3","17.4","6.9","131.3","102.8"
"208","Mason Plumlee","Lac","F-C","33","9","21.6","14.8","29.8","36","0.778","35","0.8","0","0","0.8","0.826","9.3","9.1","2","0.6","0.4","1.7","18.4","11.3","20.4","10.2","140.7","99.3"
"209","Gabe Vincent","Mia","G","26.7","53","26.3","17.6","14.8","65","0.877","164","0.5","284","0.32","0.488","0.518","9.3","2.2","2.5","0.9","0.1","1.5","11.5","11.8","14","5.6","101.1","106.4"
"210","Santi Aldama","Mem","F-C","22.2","61","21.9","16","9.4","112","0.714","203","0.596","222","0.36","0.567","0.592","9.2","4.5","1.2","0.6","0.7","0.7","13.8","10.4","15","6.7","120.2","104.3"
"211","Tari Eason","Hou","F","21.8","65","20.3","19.8","12.6","119","0.748","378","0.487","129","0.357","0.499","0.532","9.2","5.7","1","1.2","0.6","1.1","14.9","10.2","15.9","7.4","111.2","107.4"
"212","Jonathan Kuminga","Gol","F","20.4","54","20.2","19.8","17.4","102","0.667","272","0.57","116","0.345","0.554","0.575","9.2","3.3","1.8","0.6","0.4","1.5","12.5","11","14.3","7.5","107","106.7"
"213","Jalen Smith","Ind","F-C","23","54","18.2","21.5","13.1","104","0.769","238","0.588","159","0.283","0.523","0.559","9.2","5.6","0.9","0.3","0.9","1.1","14.8","10.1","15.7","7.9","111","107"
"214","Ayo Dosunmu","Chi","G","23.1","64","27.4","14.9","15.3","74","0.811","322","0.587","155","0.316","0.55","0.574","9.1","3","2.7","0.7","0.3","1.3","12.2","11.8","14.8","6.1","110.8","108.1"
"215","Dorian Finney-Smith","Dal","F","29.8","40","32.2","12.8","10.4","40","0.75","93","0.559","217","0.355","0.54","0.557","9.1","4.7","1.5","1","0.5","0.9","13.8","10.6","15.3","5","115.6","113.4"
"216","Isaiah Joe","Okc","G","23.7","58","17.4","17.7","7.3","66","0.818","72","0.556","298","0.44","0.639","0.66","9.1","2.2","1.2","0.6","0.1","0.5","11.3","10.2","12.5","6.6","129.8","110.7"
"217","Terance Mann","Lac","G-F","26.4","67","23.4","15.3","12.8","94","0.777","279","0.613","163","0.393","0.604","0.628","9.1","3.6","2.3","0.5","0.3","1","12.7","11.3","14.9","7.2","124.5","109.9"
"218","Josh Richardson","Nor","G","29.5","7","26.4","14.9","13.5","12","0.75","24","0.583","27","0.333","0.539","0.569","9.1","2.4","2.3","2.4","0.6","1.1","11.6","11.4","13.9","5.6","111.8","101.7"
"219","Jose Alvarado","Nor","G","24.9","61","21.5","19.7","14.2","80","0.813","242","0.488","247","0.336","0.496","0.525","9","2.3","3","1.1","0.2","1.3","11.3","12.1","14.4","7.4","106.5","106.5"
"220","AJ Griffin","Atl","F","19.5","59","19.9","17.7","7.2","32","0.875","225","0.556","216","0.384","0.566","0.579","8.9","2","1","0.7","0.1","0.6","10.9","9.9","12","5.2","114.8","114.3"
"221","Royce O'Neale","Bro","F","29.8","62","32.5","13.3","15.9","53","0.736","147","0.381","340","0.391","0.525","0.539","8.9","4.9","3.8","0.8","0.7","1.5","13.7","12.6","17.5","6.8","108.3","108.8"
"222","Jae'Sean Tate","Hou","F","27.4","25","21.5","18.6","16.9","53","0.717","145","0.524","36","0.306","0.511","0.546","8.9","3.7","2.4","0.6","0.2","1.5","12.6","11.3","15","8","110.5","106.4"
"223","Kyle Anderson","Min","F-G","29.5","54","26.6","14.1","18","117","0.752","271","0.531","76","0.434","0.558","0.596","8.8","4.9","4.1","1.1","0.9","1.4","13.7","12.9","17.9","8.4","120.3","108.6"
"224","Deni Avdija","Was","F","22.2","64","26.1","16.3","16.9","139","0.763","276","0.529","190","0.289","0.49","0.534","8.8","6.3","2.5","0.9","0.4","1.5","15.1","11.3","17.6","7.9","107","104.3"
"225","Josh Green","Dal","G","22.3","47","24.9","14.3","15.1","84","0.714","149","0.638","132","0.409","0.626","0.648","8.8","2.8","1.6","0.8","0.1","1.1","11.5","10.3","13.1","5.5","121.9","109"
"226","Aleksej Pokusevski","Okc","C","21.2","31","21.9","18.4","14.4","33","0.636","142","0.486","101","0.376","0.519","0.53","8.8","5.1","2","0.6","1.3","1.3","13.9","10.8","15.9","8.2","107.3","108.6"
"227","Coby White","Chi","G","23.1","58","22.4","17.4","10.1","60","0.85","173","0.514","265","0.355","0.525","0.55","8.8","2.7","2.2","0.7","0.1","0.8","11.5","11","13.7","6.7","109.6","109.1"
"228","Taurean Prince","Min","F","29","41","21.3","16.8","15.7","48","0.833","132","0.591","141","0.383","0.582","0.609","8.7","2.4","1.7","0.5","0.4","1.2","11.1","10.4","12.8","6.2","110.4","108.3"
"229","Steven Adams","Mem","C","29.6","42","27","14.5","23.1","129","0.364","262","0.599","1","0","0.597","0.564","8.6","11.5","2.3","0.9","1.1","1.9","20.1","10.9","22.5","9","117.4","102.2"
"230","Shake Milton","Phi","G-F","26.4","61","20.4","18.7","15.6","93","0.839","286","0.535","120","0.392","0.55","0.587","8.6","2.5","2.8","0.3","0.1","1.2","11.1","11.4","13.9","7.7","114.9","110.3"
"231","Cedi Osman","Cle","F","27.9","63","20.7","18","9.1","88","0.659","189","0.587","252","0.349","0.551","0.567","8.6","2.2","1.5","0.5","0.1","0.7","10.9","10.2","12.4","5.9","112.9","106.8"
"232","Dennis Smith Jr.","Cha","G","25.3","45","25.2","17.1","15.2","86","0.744","272","0.485","90","0.211","0.443","0.481","8.6","2.9","4.6","1.4","0.4","1.4","11.4","13.1","16","7.7","103.9","109.7"
"233","Keita Bates-Diop","San","F","27.1","51","21.3","15.9","10.5","101","0.792","245","0.539","88","0.341","0.532","0.575","8.5","3.4","1.3","0.7","0.3","0.8","11.9","9.8","13.3","6.3","117.1","118.9"
"234","Jalen Duren","Det","C","19.3","52","25.1","13.1","17.8","113","0.611","289","0.647","1","0","0.645","0.652","8.5","8.7","1.1","0.6","0.9","1.2","17.3","9.6","18.3","6.9","128","108"
"235","Daniel Gafford","Was","F-C","24.4","64","19.6","15","18","151","0.642","301","0.748","0","0","0.748","0.744","8.5","5.4","1","0.4","1.3","1","14","9.5","14.9","7.3","137.1","105.2"
"236","Damion Lee","Pho","G-F","30.4","66","21.3","16.1","14.6","102","0.902","183","0.443","232","0.444","0.567","0.612","8.5","3.2","1.5","0.4","0.1","1.1","11.7","10","13.1","6.5","115.8","109.7"
"237","Kevin Love","Cle","F-C","34.5","41","20","19.6","14.1","63","0.889","90","0.467","195","0.354","0.511","0.555","8.5","6.8","1.9","0.2","0.2","1.1","15.3","10.3","17.1","9.6","111.8","101.7"
"238","Gary Harris","Orl","G","28.5","35","24.7","12.7","9.1","28","0.893","73","0.534","147","0.435","0.614","0.635","8.4","2.2","1.2","0.9","0.1","0.6","10.6","9.6","11.8","4.5","123.9","110.4"
"239","Walker Kessler","Uta","C","21.6","62","22","12.9","13.3","124","0.532","316","0.715","2","0.5","0.715","0.699","8.4","8.1","0.8","0.4","2.3","0.8","16.5","9.2","17.3","6.9","138.8","106.1"
"240","Georges Niang","Phi","F","29.7","62","19.3","17.3","9.5","34","0.853","93","0.581","314","0.408","0.604","0.617","8.4","2.4","1.1","0.4","0.2","0.7","10.8","9.5","11.9","5.8","115.5","107.1"
"241","Cam Reddish","Nyk","F-G","23.5","20","21.9","16.2","9.9","33","0.879","80","0.55","56","0.304","0.511","0.558","8.4","1.6","1","0.8","0.4","0.8","10","9.4","11","4.3","113","111.2"
"242","Robert Williams III","Bos","C-F","25.4","28","24.2","11.8","14.8","32","0.625","143","0.755","1","0","0.75","0.746","8.4","8.6","1.5","0.5","1.2","0.9","17","10","18.6","7.9","149","105"
"243","Grant Williams","Bos","F","24.3","65","27","12.9","15.3","107","0.804","158","0.532","240","0.404","0.577","0.612","8.4","4.7","1.8","0.6","0.4","1.1","13.1","10.1","14.9","6.1","119","105.3"
"244","Mark Williams","Cha","C","21.2","36","17.9","16.8","13.8","76","0.711","194","0.639","0","0","0.639","0.664","8.4","6.5","0.4","0.7","1.1","0.9","14.9","8.8","15.3","6.2","126.8","102"
"245","Draymond Green","Gol","F","33","58","31.4","12.8","29.1","89","0.685","262","0.611","103","0.33","0.578","0.598","8.3","7.3","6.8","0.9","0.8","2.6","15.6","15.1","22.4","9.5","115.7","105.8"
"246","Jarred Vanderbilt","Uta","F","23.9","52","24.1","14.2","17.9","102","0.657","254","0.606","57","0.333","0.587","0.607","8.3","7.8","2.7","1","0.3","1.3","16.2","11","18.9","9.3","124.8","104.8"
"247","Joe Harris","Bro","G-F","31.5","58","22.6","14.2","9","24","0.625","102","0.549","270","0.43","0.618","0.621","8.2","2.4","1.5","0.5","0.2","0.6","10.6","9.7","12","5.5","117.8","109.6"
"248","Talen Horton-Tucker","Uta","G","22.3","52","17.8","23.1","18.3","98","0.755","242","0.488","141","0.277","0.461","0.501","8.2","2.8","3","0.6","0.5","1.7","11","11.2","14","9.2","101.5","110.1"
"249","Pat Connaughton","Mil","G","30.2","47","24.8","14","7.2","35","0.657","79","0.532","267","0.341","0.516","0.526","8.1","5","1.3","0.7","0.1","0.6","13.1","9.4","14.4","6","111.4","108.6"
"250","Jevon Carter","Mil","G","27.5","65","22.6","15","13.6","36","0.806","187","0.449","252","0.429","0.56","0.573","8","2.7","2.5","0.9","0.4","1.1","10.7","10.5","13.2","6.7","114.2","104.8"
"251","Chris Duarte","Ind","G","25.7","42","19.3","19.1","10.9","67","0.836","145","0.441","157","0.318","0.46","0.504","8","2.5","1.4","0.5","0.2","0.9","10.5","9.4","11.9","6.3","101.8","114.4"
"252","Terrence Ross","Orl","G-F","32.1","42","22.5","15.7","11","20","0.75","139","0.489","160","0.381","0.533","0.543","8","2","1.3","0.6","0.2","0.9","10","9.2","11.3","4.9","104.4","113.3"
"253","Kemba Walker","Dal","G","32.8","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.4","112.9"
"254","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.6","108.2"
"255","Jeff Green","Den","F","36.5","42","19.4","17.5","13","84","0.714","181","0.591","73","0.26","0.533","0.569","7.9","2.6","1.1","0.4","0.3","0.9","10.5","9","11.6","5.8","111.1","109.1"
"256","Tre Mann","Okc","G","22.1","58","18.2","20.8","10.7","50","0.74","214","0.467","235","0.315","0.47","0.487","7.9","2.3","1.7","0.6","0.2","0.9","10.2","9.7","12","6.9","100.1","110.6"
"257","Andrew Nembhard","Ind","G-F","23.1","59","26.7","14.7","17.4","36","0.833","235","0.489","207","0.329","0.491","0.507","7.9","2.7","3.9","1","0.2","1.6","10.5","11.8","14.5","6.5","103.6","112.8"
"258","Shaedon Sharpe","Por","G","19.8","65","20.5","16.8","10.1","55","0.673","249","0.566","189","0.344","0.545","0.556","7.9","2.5","0.7","0.4","0.3","0.8","10.4","8.6","11.2","4.7","108.6","114.1"
"259","Duane Washington Jr.","Pho","G","23","31","12.7","32.6","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.6","113.1"
"260","Luke Kennard","Lac","G","26.7","35","20.7","15.1","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","113.9","111.6"
"261","Will Barton","Was","G","32.2","40","19.6","19.4","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","102","113.8"
"262","Willy Hernangomez","Nor","C-F","28.8","32","13.6","23.6","18.8","99","0.788","149","0.544","10","0.2","0.528","0.607","7.7","5.3","1","0.4","0.4","1.2","13","8.7","14","10.1","119","98.3"
"263","Trey Lyles","Sac","F","27.3","58","16.3","18.2","13.1","99","0.788","133","0.639","179","0.374","0.595","0.631","7.7","3.8","0.9","0.3","0.5","0.8","11.6","8.7","12.5","7.3","121.8","110.3"
"264","T.J. McConnell","Ind","G","31","63","19.6","18.2","21.2","52","0.846","360","0.542","44","0.409","0.55","0.572","7.7","3","5","1.1","0.1","1.7","10.7","12.7","15.7","9.9","114.8","113.5"
"265","Larry Nance Jr.","Nor","F-C","30.2","50","22.3","12.7","12.3","71","0.676","225","0.662","38","0.342","0.641","0.654","7.7","5.9","1.9","0.9","0.7","0.7","13.6","9.6","15.5","7.9","133.7","104.5"
"266","Nick Richards","Cha","C","25.3","52","17.3","16.2","15.4","141","0.745","242","0.607","0","0","0.607","0.656","7.7","5.7","0.5","0.2","1","0.8","13.3","8.1","13.8","6.5","129.2","104.7"
"267","Mitchell Robinson","Nyk","C-F","24.9","45","27.6","9.7","11.2","92","0.478","214","0.71","0","0","0.71","0.684","7.7","9.2","0.8","0.9","1.7","0.6","16.9","8.6","17.8","5.6","146.8","103.5"
