"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"47","CJ McCollum","Nor","G","31.5","59","35.1","27.1","12.5","185","0.795","639","0.474","434","0.38","0.513","0.541","21.2","4.3","5.8","0.9","0.5","2.6","25.5","26.9","31.3","9.2","108.9","111.9"
"48","Anfernee Simons","Por","G","23.8","57","35.2","25","11.3","160","0.913","440","0.53","518","0.378","0.55","0.583","21.1","2.7","4.1","0.7","0.2","2.1","23.7","25.2","27.9","7","113.8","115.9"
"49","Dejounte Murray","Atl","G","26.5","61","36.4","24.8","10.9","150","0.847","757","0.515","343","0.362","0.524","0.548","21","5.4","6","1.5","0.3","2.2","26.4","27","32.4","9.7","112.3","114.9"
"50","Jordan Clarkson","Uta","G","30.8","61","32.6","27.9","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109.1","115.4"
"51","Karl-Anthony Towns","Min","C-F","27.3","21","33.8","24.9","17.6","104","0.885","186","0.618","117","0.325","0.568","0.625","20.8","8.2","5.3","0.8","0.7","3.1","29","26","34.2","11.4","118.5","104.6"
"52","Jordan Poole","Gol","G","23.7","66","30.8","29.3","16.5","324","0.867","536","0.528","529","0.325","0.508","0.564","20.7","2.8","4.6","0.8","0.2","3.2","23.5","25.2","28.1","8.4","106.9","111.2"
"53","Jerami Grant","Por","F","29","61","35.8","23","11.3","330","0.818","543","0.521","350","0.403","0.554","0.606","20.6","4.4","2.4","0.8","0.9","1.9","25.1","23","27.4","6.7","117.8","114.5"
"54","Tyrese Haliburton","Ind","G","23","53","33.6","23.8","14.4","184","0.864","412","0.566","383","0.407","0.587","0.624","20.6","3.7","10.3","1.7","0.5","2.5","24.3","30.9","34.6","11","128.4","118"
"55","Tyler Herro","Mia","G","23.1","53","35.4","25.9","12.6","147","0.918","473","0.482","432","0.375","0.52","0.555","20.3","5.6","4.4","0.8","0.3","2.5","25.9","24.7","30.3","9","107.8","110.4"
"56","Tyrese Maxey","Phi","G","22.3","46","32.9","25.2","8","179","0.832","441","0.506","275","0.407","0.546","0.586","20.2","2.7","3.5","0.8","0.1","1.3","23","23.7","26.5","7","117.2","111.4"
"57","Jamal Murray","Den","G","26","52","32.7","26.3","11.5","183","0.825","501","0.499","337","0.389","0.533","0.568","20.1","4","6","1","0.2","2.1","24.1","26.1","30.1","9.6","116.6","114"
"58","Kelly Oubre Jr.","Cha","F-G","27.2","42","32.5","26.3","7","174","0.759","427","0.506","300","0.313","0.491","0.526","20.1","5.4","1.1","1.4","0.4","1.3","25.5","21.3","26.6","6.1","105.9","108.8"
"59","Paolo Banchero","Orl","F","20.3","59","33.7","27.8","14.7","442","0.747","685","0.474","240","0.275","0.458","0.526","20","6.6","3.6","0.9","0.5","2.7","26.5","23.6","30.1","9.3","104.8","109.9"
"60","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100","112.2"
"61","Jrue Holiday","Mil","G","32.7","53","32.9","25.3","15.3","144","0.868","499","0.539","337","0.386","0.555","0.585","19.9","5.1","7.3","1.2","0.3","2.8","24.9","27.1","32.2","11","118.4","108.2"
"62","RJ Barrett","Nyk","F-G","22.7","60","34.2","26.1","12.2","318","0.748","647","0.484","325","0.326","0.486","0.532","19.7","5.2","2.8","0.5","0.2","2.3","24.9","22.5","27.7","7.7","107.2","110.1"
"63","Fred VanVleet","Tor","G","29","55","37","22.7","10.3","227","0.899","401","0.451","484","0.341","0.484","0.539","19.3","4.3","6.9","1.6","0.6","1.9","23.5","26.2","30.5","9","117.2","110.2"
"64","Devin Vassell","San","G-F","22.5","31","30.9","25","8.7","89","0.787","275","0.484","218","0.394","0.531","0.558","19.2","3.8","3.6","1.2","0.4","1.5","23","22.7","26.5","8.3","111.9","119.1"
"65","Domantas Sabonis","Sac","F-C","26.8","62","34.5","21.2","20.3","337","0.766","653","0.642","71","0.366","0.633","0.673","18.9","12.4","7","0.8","0.5","3","31.3","25.9","38.3","13.7","132","104.8"
"66","Franz Wagner","Orl","F","21.5","65","32.9","23.5","13.1","269","0.836","612","0.544","297","0.37","0.548","0.594","18.8","3.9","3.5","0.9","0.2","2.1","22.6","22.2","26.1","7.7","115.5","111.6"
"67","Kevin Porter Jr.","Hou","G-F","22.8","44","33.5","25.2","18.8","197","0.766","386","0.492","272","0.349","0.505","0.548","18.5","5.5","5.7","1.3","0.4","3.5","24","24.3","29.8","10","108.2","113.4"
"68","Deandre Ayton","Pho","C","24.6","57","30.3","23.3","12","171","0.743","739","0.601","23","0.304","0.596","0.619","18.2","10.2","1.9","0.6","0.8","1.8","28.4","20.1","30.3","9.3","119.7","103.8"
"69","Gary Trent Jr.","Tor","G-F","24.1","58","32.9","21.9","5.8","186","0.839","436","0.5","410","0.368","0.525","0.563","18","2.6","1.6","1.6","0.2","0.9","20.6","19.6","22.2","5.1","116.1","113.9"
"70","D'Angelo Russell","Min","G","27","54","32.9","22.7","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.6","113"
"71","Myles Turner","Ind","C-F","27","56","29.7","21.9","12.4","243","0.778","432","0.632","232","0.388","0.614","0.652","17.9","7.6","1.3","0.6","2.3","1.7","25.6","19.3","26.9","7.6","121.4","107.1"
"72","Spencer Dinwiddie","Dal","G","29.9","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","121","113.6"
"73","Nikola Vucevic","Chi","C","32.4","66","33.8","21.7","10.8","128","0.82","633","0.591","301","0.349","0.569","0.59","17.7","11.3","3.3","0.7","0.8","1.7","29","21","32.3","10.3","117.6","106.1"
"74","Spencer Dinwiddie","Bro","G","29.9","11","33.8","23.8","14.3","54","0.852","80","0.513","70","0.314","0.493","0.558","17.6","3.9","6.5","1.2","0.4","2.3","21.5","24.2","28.1","9","113.9","112.1"
"75","Buddy Hield","Ind","G","30.2","66","31.9","20.9","11.9","108","0.833","303","0.515","576","0.427","0.597","0.615","17.3","5","2.7","1.2","0.3","1.8","22.2","20","24.9","7.7","115","114.6"
"76","Mikal Bridges","Pho","F","26.5","56","36.4","19.2","9.3","174","0.897","503","0.503","261","0.387","0.529","0.574","17.2","4.3","3.6","1.2","0.8","1.4","21.6","20.8","25.2","7.1","118.9","112.1"
"77","Cameron Johnson","Bro","F","27","10","29.3","23.9","5","38","0.789","55","0.582","78","0.333","0.534","0.574","17.2","4.2","1.7","1.4","0.3","0.7","21.4","18.9","23.1","6.8","115.2","109.8"
"78","Michael Porter Jr.","Den","F","24.7","49","29.2","22.3","7.9","97","0.804","283","0.58","354","0.41","0.599","0.619","17.2","5.4","1","0.7","0.5","1.1","22.6","18.1","23.6","6.2","117.3","109.7"
"79","Andrew Wiggins","Gol","F","28","37","32.2","21.4","8.3","72","0.611","304","0.53","225","0.396","0.557","0.564","17.1","5","2.3","1.2","0.8","1.3","22.1","19.4","24.4","7.2","112.5","109.3"
"80","Christian Wood","Dal","F","27.4","55","26.8","26.2","13.3","225","0.76","409","0.614","244","0.369","0.591","0.627","17.1","7.7","1.6","0.4","1.1","1.8","24.9","18.8","26.5","8.9","116.9","105.9"
"81","Jaren Jackson Jr.","Mem","F-C","23.5","47","27.6","23.4","11","205","0.785","368","0.579","209","0.34","0.554","0.6","17","6.6","0.8","1.1","3.2","1.5","23.6","17.9","24.4","6.5","116.7","99.1"
"82","Aaron Gordon","Den","F","27.5","54","30","21.4","11.9","262","0.626","464","0.642","138","0.37","0.622","0.636","16.9","6.8","2.9","0.8","0.8","1.5","23.7","19.8","26.7","9.2","127.4","110.9"
"83","Bennedict Mathurin","Ind","G-F","20.7","66","28.1","25.2","12.6","384","0.828","548","0.485","278","0.317","0.482","0.56","16.9","4.1","1.4","0.6","0.1","1.8","21","18.3","22.4","6.5","109.1","115.1"
"84","Norman Powell","Lac","G","29.8","54","25.8","25.9","12.4","239","0.803","364","0.522","266","0.41","0.561","0.611","16.6","2.9","1.8","0.8","0.3","1.6","19.6","18.4","21.3","6.9","115","110.2"
"85","O.G. Anunoby","Tor","F","25.6","53","35.8","19.8","14","151","0.828","423","0.515","279","0.362","0.526","0.562","16.3","5.3","1.9","2","0.7","2.2","21.6","18.2","23.5","6.1","108.3","108.6"
"86","Josh Giddey","Okc","G","20.4","61","30.7","24.6","17","105","0.762","699","0.528","180","0.317","0.517","0.534","16.2","7.8","6.2","0.8","0.4","3","24","22.4","30.2","12","108.8","110.2"
"87","Evan Mobley","Cle","C","21.7","66","34.2","20.5","14.7","248","0.685","697","0.595","91","0.209","0.563","0.589","16","9","2.7","0.8","1.4","2.1","25","18.7","27.7","8.5","115.8","103"
"88","Russell Westbrook","Lal","G","34.3","52","28.7","28.8","20.2","238","0.655","516","0.467","213","0.296","0.46","0.496","15.9","6.2","7.5","1","0.4","3.6","22.1","23.4","29.6","12.6","100.6","106.9"
"89","De'Andre Hunter","Atl","F-G","25.3","56","31.8","19.8","9.3","187","0.829","440","0.52","240","0.363","0.529","0.573","15.6","4.2","1.4","0.5","0.2","1.3","19.8","17","21.3","5.7","112.7","110.8"
"90","Scottie Barnes","Tor","F","21.6","64","35.3","20.4","13.4","213","0.77","658","0.489","195","0.303","0.481","0.52","15.4","6.9","4.8","1","0.9","2.1","22.3","20.2","27.1","9.1","111.7","111.8"
"91","Devonte' Graham","San","G","28","10","27.7","21.5","7.9","40","0.825","29","0.379","87","0.379","0.522","0.576","15.4","2.6","4.3","0.6","0.4","1","18","19.7","22.3","8","124.4","119.9"
"92","Jaden Ivey","Det","G","21.1","61","30.2","24.7","18.8","295","0.729","502","0.462","262","0.332","0.474","0.526","15.4","3.9","4.9","0.9","0.2","2.9","19.3","20.3","24.2","8.8","103.7","111.5"
"93","Harrison Barnes","Sac","F","30.8","64","32.8","17.1","10.3","318","0.843","342","0.556","283","0.375","0.558","0.631","15.1","4.7","1.6","0.7","0.2","1.1","19.8","16.7","21.5","5.9","125.8","115.8"
"94","Kevin Huerter","Sac","G-F","24.5","61","30.2","19.4","11","113","0.699","285","0.614","411","0.401","0.607","0.62","15.1","3.3","3","1.1","0.3","1.4","18.4","18.1","21.4","7","119","110.9"
"95","Brook Lopez","Mil","C","34.9","64","30.3","18.9","11.3","145","0.766","407","0.614","309","0.382","0.596","0.619","15.1","6.6","1.3","0.5","2.4","1.4","21.7","16.3","22.9","6.7","120.1","105.3"
"96","P.J. Washington","Cha","F","24.5","62","32.9","19.5","10","141","0.745","444","0.516","357","0.35","0.52","0.543","15.1","4.8","2.4","0.9","1.1","1.4","20","17.5","22.4","6.8","108.3","111.2"
"97","Wendell Carter Jr.","Orl","C-F","23.9","44","29.6","21.1","17","167","0.743","311","0.605","157","0.344","0.575","0.611","15","8.8","2.5","0.4","0.6","2.2","23.8","17.5","26.3","9.3","116.4","105.6"
"98","Tobias Harris","Phi","F","30.6","60","33.4","18.4","9.3","99","0.869","436","0.571","272","0.382","0.572","0.596","14.9","5.9","2.6","1","0.5","1.2","20.8","17.5","23.4","7.3","117.7","109.7"
"99","Saddiq Bey","Det","F","23.9","52","28.8","21.3","8.2","209","0.861","313","0.46","293","0.345","0.488","0.552","14.8","4.7","1.6","1","0.2","1","19.5","16.4","21.1","6.7","114.7","115.6"
"100","Gordon Hayward","Cha","F","33","41","31.6","20.1","14.5","129","0.806","349","0.527","135","0.333","0.52","0.561","14.8","4.4","3.8","0.9","0.2","2","19.2","18.6","23","7.9","109.7","114.9"
"101","Alperen Sengun","Hou","C","20.6","60","28.3","21.7","19.4","237","0.738","586","0.573","44","0.318","0.567","0.605","14.8","8.8","3.8","0.8","0.9","2.5","23.6","18.6","27.5","11.2","118.4","107.5"
"102","Jakob Poeltl","Tor","C","27.4","11","28","17.6","12.7","39","0.564","96","0.729","0","0","0.729","0.716","14.7","9.1","2.4","1.6","1.7","1.3","23.8","17.1","26.2","9.8","138.5","102.4"
"103","Malcolm Brogdon","Bos","G","30.2","56","25.6","22.8","12.7","148","0.878","345","0.504","250","0.452","0.577","0.619","14.6","4.2","3.7","0.6","0.3","1.6","18.8","18.3","22.5","9.5","121.4","108.6"
"104","Jarrett Allen","Cle","C","24.9","61","33","16.5","13.2","200","0.725","558","0.659","9","0.111","0.652","0.675","14.5","9.8","1.6","0.8","1.2","1.4","24.2","16.1","25.9","7.4","132.6","104.4"
"105","Bogdan Bogdanovic","Atl","G","30.6","41","28.9","20","9.4","61","0.803","207","0.493","277","0.404","0.558","0.577","14.4","3.3","3","0.9","0.3","1.2","17.6","17.3","20.6","7.2","114.8","114.2"
"106","Dillon Brooks","Mem","G-F","27.1","58","30.3","22.3","9.5","126","0.794","469","0.437","339","0.319","0.454","0.483","14.4","3.2","2.5","0.8","0.2","1.5","17.6","16.8","20.1","6.4","100.5","104.6"
"107","Collin Sexton","Uta","G","24.2","47","24","23.1","15.4","197","0.822","338","0.538","117","0.41","0.558","0.618","14.3","2.2","2.9","0.6","0.1","1.8","16.5","17.1","19.3","7.5","120","111.9"
"108","Tim Hardaway Jr.","Dal","G-F","31","61","30.2","20.8","6.3","140","0.764","251","0.414","483","0.381","0.518","0.545","14.2","3.6","1.8","0.7","0.1","0.8","17.8","16","19.6","6","109.3","114.3"
"109","Jonas Valanciunas","Nor","C","30.8","63","24.7","23.3","16","184","0.821","551","0.581","93","0.344","0.571","0.612","14.1","9.7","1.7","0.3","0.5","2","23.7","15.8","25.4","10","117.2","100.8"
"110","Russell Westbrook","Lac","G","34.3","7","30.5","23.2","27.3","16","0.813","56","0.607","21","0.286","0.558","0.589","14.1","3.7","8.1","1.4","0.4","4.1","17.9","22.3","26","9.8","107.9","107.1"
"111","Luguentz Dort","Okc","G","23.9","59","30.1","20.4","10.3","204","0.77","378","0.45","321","0.34","0.477","0.522","14","4.3","2.2","1","0.3","1.4","18.2","16.1","20.4","6.8","109.2","108.3"
"112","Cameron Johnson","Pho","F","27","17","25.3","19.6","5.5","33","0.818","74","0.5","99","0.455","0.604","0.629","13.9","3.8","1.5","0.9","0.4","0.6","17.7","15.4","19.2","6.8","127.6","109.8"
"113","Cam Reddish","Por","F-G","23.5","11","30.3","18.8","13.6","26","0.885","50","0.54","64","0.391","0.566","0.606","13.8","3.4","2.8","1.4","0.3","1.6","17.2","16.6","20","6.7","117.2","112.9"
"114","Khris Middleton","Mil","F","31.6","22","22.2","28.1","15.9","68","0.912","146","0.514","102","0.294","0.484","0.543","13.7","4.1","4.4","0.7","0.1","2.1","17.8","18.1","22.2","11.3","110.7","103"
"115","Bobby Portis","Mil","F","28.1","54","25.9","21.6","9.7","80","0.825","430","0.567","186","0.333","0.547","0.568","13.7","9.7","1.7","0.4","0.2","1.2","23.4","15.4","25.1","9.4","116.9","103.8"
"116","Malik Monk","Sac","G","25.1","61","22.5","26","16.1","168","0.899","329","0.559","306","0.337","0.533","0.584","13.6","2.5","3.9","0.6","0.2","2","16.1","17.4","20","9.1","113","112.7"
"117","Jusuf Nurkic","Por","C","28.5","46","27","22.4","20","173","0.676","346","0.564","103","0.379","0.565","0.594","13.6","9.4","2.9","0.8","0.8","2.4","22.9","16.4","25.8","10.6","113","102.3"
"118","Rudy Gobert","Min","C","30.7","55","30.3","16.3","18.5","261","0.659","421","0.675","3","0","0.67","0.687","13.5","11.5","0.9","0.8","1.4","1.7","25","14.4","25.9","6.9","128.3","103.6"
"119","Chris Paul","Pho","G","37.8","45","31.9","19.2","15.5","135","0.815","303","0.462","192","0.38","0.504","0.549","13.5","4.2","9","1.6","0.4","2","17.8","22.5","26.7","10","121","108.8"
