,year,state,month,number,date,risc
104,2002,Acre,Junho,0.0,2002-01-01,low
105,2003,Acre,Junho,0.0,2003-01-01,low
106,2004,Acre,Junho,5.0,2004-01-01,low
107,2005,Acre,Junho,27.0,2005-01-01,low
108,2006,Acre,Junho,1.0,2006-01-01,low
109,2007,Acre,Junho,4.0,2007-01-01,low
110,2008,Acre,Junho,0.0,2008-01-01,low
111,2009,Acre,Junho,0.0,2009-01-01,low
112,2010,Acre,Junho,1.0,2010-01-01,low
113,2011,Acre,Junho,10.0,2011-01-01,low
114,2012,Acre,Junho,7.0,2012-01-01,low
115,2013,Acre,Junho,8.0,2013-01-01,low
116,2014,Acre,Junho,17.0,2014-01-01,low
117,2015,Acre,Junho,40.0,2015-01-01,low
118,2016,Acre,Junho,87.0,2016-01-01,low
119,2017,Acre,Junho,45.0,2017-01-01,low
120,1998,Acre,Julho,37.0,1998-01-01,low
121,1999,Acre,Julho,1.0,1999-01-01,low
122,2000,Acre,Julho,1.0,2000-01-01,low
123,2001,Acre,Julho,3.0,2001-01-01,low
124,2002,Acre,Julho,39.0,2002-01-01,low
125,2003,Acre,Julho,168.0,2003-01-01,low
126,2004,Acre,Julho,42.0,2004-01-01,low
127,2005,Acre,Julho,368.0,2005-01-01,low
128,2006,Acre,Julho,33.0,2006-01-01,low
129,2007,Acre,Julho,29.0,2007-01-01,low
130,2008,Acre,Julho,41.0,2008-01-01,low
131,2009,Acre,Julho,31.0,2009-01-01,low
132,2010,Acre,Julho,126.0,2010-01-01,low
133,2011,Acre,Julho,93.0,2011-01-01,low
134,2012,Acre,Julho,71.0,2012-01-01,low
135,2013,Acre,Julho,54.0,2013-01-01,low
136,2014,Acre,Julho,60.0,2014-01-01,low
137,2015,Acre,Julho,109.0,2015-01-01,low
138,2016,Acre,Julho,533.0,2016-01-01,medium
139,2017,Acre,Julho,457.0,2017-01-01,medium
140,1998,Acre,Agosto,130.0,1998-01-01,low
141,1999,Acre,Agosto,63.0,1999-01-01,low
142,2000,Acre,Agosto,136.0,2000-01-01,low
143,2001,Acre,Agosto,396.0,2001-01-01,low
144,2002,Acre,Agosto,728.0,2002-01-01,medium
145,2003,Acre,Agosto,1.976,2003-01-01,low
146,2004,Acre,Agosto,645.0,2004-01-01,medium
147,2005,Acre,Agosto,4.198,2005-01-01,low
148,2006,Acre,Agosto,839.0,2006-01-01,high
149,2007,Acre,Agosto,960.0,2007-01-01,high
150,2008,Acre,Agosto,445.0,2008-01-01,medium
151,2009,Acre,Agosto,194.0,2009-01-01,low
152,2010,Acre,Agosto,1.682,2010-01-01,low
153,2011,Acre,Agosto,425.0,2011-01-01,medium
154,2012,Acre,Agosto,739.0,2012-01-01,medium
