,year,state,month,number,date,risc
1584,2007,Distrito Federal,Agosto,137.0,2007-01-01,low
1585,2008,Distrito Federal,Agosto,30.0,2008-01-01,low
1586,2009,Distrito Federal,Agosto,37.0,2009-01-01,low
1587,2010,Distrito Federal,Agosto,159.0,2010-01-01,low
1588,2011,Distrito Federal,Agosto,61.0,2011-01-01,low
1589,2012,Distrito Federal,Agosto,55.0,2012-01-01,low
1590,2013,Distrito Federal,Agosto,34.0,2013-01-01,low
1591,2014,Distrito Federal,Agosto,99.0,2014-01-01,low
1592,2015,Distrito Federal,Agosto,53.0,2015-01-01,low
1593,2016,Distrito Federal,Agosto,29.0,2016-01-01,low
1594,2017,Distrito Federal,Agosto,147.0,2017-01-01,low
1595,1998,Distrito Federal,Setembro,33.0,1998-01-01,low
1596,1999,Distrito Federal,Setembro,12.0,1999-01-01,low
1597,2000,Distrito Federal,Setembro,3.0,2000-01-01,low
1598,2001,Distrito Federal,Setembro,12.0,2001-01-01,low
1599,2002,Distrito Federal,Setembro,33.0,2002-01-01,low
1600,2003,Distrito Federal,Setembro,17.0,2003-01-01,low
1601,2004,Distrito Federal,Setembro,100.0,2004-01-01,low
1602,2005,Distrito Federal,Setembro,23.0,2005-01-01,low
1603,2006,Distrito Federal,Setembro,20.0,2006-01-01,low
1604,2007,Distrito Federal,Setembro,73.0,2007-01-01,low
1605,2008,Distrito Federal,Setembro,54.0,2008-01-01,low
1606,2009,Distrito Federal,Setembro,5.0,2009-01-01,low
1607,2010,Distrito Federal,Setembro,196.0,2010-01-01,low
1608,2011,Distrito Federal,Setembro,133.0,2011-01-01,low
1609,2012,Distrito Federal,Setembro,64.0,2012-01-01,low
1610,2013,Distrito Federal,Setembro,31.0,2013-01-01,low
1611,2014,Distrito Federal,Setembro,72.0,2014-01-01,low
1612,2015,Distrito Federal,Setembro,76.0,2015-01-01,low
1613,2016,Distrito Federal,Setembro,58.0,2016-01-01,low
1614,2017,Distrito Federal,Setembro,122.0,2017-01-01,low
1615,1998,Distrito Federal,Outubro,3.0,1998-01-01,low
1616,1999,Distrito Federal,Outubro,8.0,1999-01-01,low
1617,2000,Distrito Federal,Outubro,18.0,2000-01-01,low
1618,2001,Distrito Federal,Outubro,0.0,2001-01-01,low
1619,2002,Distrito Federal,Outubro,19.0,2002-01-01,low
1620,2003,Distrito Federal,Outubro,12.0,2003-01-01,low
1621,2004,Distrito Federal,Outubro,18.0,2004-01-01,low
1622,2005,Distrito Federal,Outubro,18.0,2005-01-01,low
1623,2006,Distrito Federal,Outubro,1.0,2006-01-01,low
1624,2007,Distrito Federal,Outubro,13.0,2007-01-01,low
1625,2008,Distrito Federal,Outubro,6.0,2008-01-01,low
1626,2009,Distrito Federal,Outubro,3.0,2009-01-01,low
1627,2010,Distrito Federal,Outubro,6.0,2010-01-01,low
1628,2011,Distrito Federal,Outubro,0.0,2011-01-01,low
1629,2012,Distrito Federal,Outubro,15.0,2012-01-01,low
1630,2013,Distrito Federal,Outubro,3.0,2013-01-01,low
1631,2014,Distrito Federal,Outubro,34.0,2014-01-01,low
1632,2015,Distrito Federal,Outubro,21.0,2015-01-01,low
1633,2016,Distrito Federal,Outubro,9.0,2016-01-01,low
1634,2017,Distrito Federal,Outubro,66.0,2017-01-01,low
1635,1998,Distrito Federal,Novembro,0.0,1998-01-01,low
1636,1999,Distrito Federal,Novembro,1.0,1999-01-01,low
1637,2000,Distrito Federal,Novembro,0.0,2000-01-01,low
1638,2001,Distrito Federal,Novembro,0.0,2001-01-01,low
1639,2002,Distrito Federal,Novembro,1.0,2002-01-01,low
1640,2003,Distrito Federal,Novembro,0.0,2003-01-01,low
1641,2004,Distrito Federal,Novembro,0.0,2004-01-01,low
1642,2005,Distrito Federal,Novembro,2.0,2005-01-01,low
1643,2006,Distrito Federal,Novembro,0.0,2006-01-01,low
1644,2007,Distrito Federal,Novembro,0.0,2007-01-01,low
1645,2008,Distrito Federal,Novembro,4.0,2008-01-01,low
1646,2009,Distrito Federal,Novembro,0.0,2009-01-01,low
1647,2010,Distrito Federal,Novembro,0.0,2010-01-01,low
1648,2011,Distrito Federal,Novembro,1.0,2011-01-01,low
1649,2012,Distrito Federal,Novembro,0.0,2012-01-01,low
1650,2013,Distrito Federal,Novembro,0.0,2013-01-01,low
1651,2014,Distrito Federal,Novembro,0.0,2014-01-01,low
1652,2015,Distrito Federal,Novembro,3.0,2015-01-01,low
1653,2016,Distrito Federal,Novembro,1.0,2016-01-01,low
1654,2017,Distrito Federal,Novembro,0.0,2017-01-01,low
1655,1998,Distrito Federal,Dezembro,0.0,1998-01-01,low
1656,1999,Distrito Federal,Dezembro,0.0,1999-01-01,low
1657,2000,Distrito Federal,Dezembro,0.0,2000-01-01,low
1658,2001,Distrito Federal,Dezembro,1.0,2001-01-01,low
1659,2002,Distrito Federal,Dezembro,1.0,2002-01-01,low
1660,2003,Distrito Federal,Dezembro,0.0,2003-01-01,low
1661,2004,Distrito Federal,Dezembro,0.0,2004-01-01,low
1662,2005,Distrito Federal,Dezembro,0.0,2005-01-01,low
1663,2006,Distrito Federal,Dezembro,0.0,2006-01-01,low
1664,2007,Distrito Federal,Dezembro,0.0,2007-01-01,low
1665,2008,Distrito Federal,Dezembro,0.0,2008-01-01,low
1666,2009,Distrito Federal,Dezembro,0.0,2009-01-01,low
1667,2010,Distrito Federal,Dezembro,1.0,2010-01-01,low
1668,2011,Distrito Federal,Dezembro,0.0,2011-01-01,low
1669,2012,Distrito Federal,Dezembro,0.0,2012-01-01,low
1670,2013,Distrito Federal,Dezembro,2.0,2013-01-01,low
1671,2014,Distrito Federal,Dezembro,0.0,2014-01-01,low
1672,2015,Distrito Federal,Dezembro,0.0,2015-01-01,low
1673,2016,Distrito Federal,Dezembro,0.0,2016-01-01,low
1674,1998,Espirito Santo,Janeiro,0.0,1998-01-01,low
1675,1999,Espirito Santo,Janeiro,33.0,1999-01-01,low
1676,2000,Espirito Santo,Janeiro,5.0,2000-01-01,low
1677,2001,Espirito Santo,Janeiro,1.0,2001-01-01,low
1678,2002,Espirito Santo,Janeiro,2.0,2002-01-01,low
1679,2003,Espirito Santo,Janeiro,4.0,2003-01-01,low
1680,2004,Espirito Santo,Janeiro,1.0,2004-01-01,low
1681,2005,Espirito Santo,Janeiro,4.0,2005-01-01,low
1682,2006,Espirito Santo,Janeiro,13.0,2006-01-01,low
1683,2007,Espirito Santo,Janeiro,0.0,2007-01-01,low
1684,2008,Espirito Santo,Janeiro,12.0,2008-01-01,low
1685,2009,Espirito Santo,Janeiro,4.0,2009-01-01,low
1686,2010,Espirito Santo,Janeiro,52.0,2010-01-01,low
1687,2011,Espirito Santo,Janeiro,3.0,2011-01-01,low
1688,2012,Espirito Santo,Janeiro,1.0,2012-01-01,low
1689,2013,Espirito Santo,Janeiro,10.0,2013-01-01,low
1690,2014,Espirito Santo,Janeiro,11.0,2014-01-01,low
1691,2015,Espirito Santo,Janeiro,76.0,2015-01-01,low
1692,2016,Espirito Santo,Janeiro,43.0,2016-01-01,low
1693,2017,Espirito Santo,Janeiro,13.0,2017-01-01,low
1694,1998,Espirito Santo,Fevereiro,0.0,1998-01-01,low
1695,1999,Espirito Santo,Fevereiro,10.0,1999-01-01,low
1696,2000,Espirito Santo,Fevereiro,5.0,2000-01-01,low
1697,2001,Espirito Santo,Fevereiro,5.0,2001-01-01,low
1698,2002,Espirito Santo,Fevereiro,4.0,2002-01-01,low
1699,2003,Espirito Santo,Fevereiro,11.0,2003-01-01,low
1700,2004,Espirito Santo,Fevereiro,5.0,2004-01-01,low
1701,2005,Espirito Santo,Fevereiro,1.0,2005-01-01,low
1702,2006,Espirito Santo,Fevereiro,45.0,2006-01-01,low
1703,2007,Espirito Santo,Fevereiro,3.0,2007-01-01,low
1704,2008,Espirito Santo,Fevereiro,20.0,2008-01-01,low
1705,2009,Espirito Santo,Fevereiro,12.0,2009-01-01,low
1706,2010,Espirito Santo,Fevereiro,15.0,2010-01-01,low
1707,2011,Espirito Santo,Fevereiro,42.0,2011-01-01,low
1708,2012,Espirito Santo,Fevereiro,25.0,2012-01-01,low
1709,2013,Espirito Santo,Fevereiro,15.0,2013-01-01,low
1710,2014,Espirito Santo,Fevereiro,17.0,2014-01-01,low
1711,2015,Espirito Santo,Fevereiro,60.0,2015-01-01,low
1712,2016,Espirito Santo,Fevereiro,24.0,2016-01-01,low
1713,2017,Espirito Santo,Fevereiro,8.0,2017-01-01,low
1714,1998,Espirito Santo,Março,0.0,1998-01-01,low
1715,1999,Espirito Santo,Março,8.0,1999-01-01,low
1716,2000,Espirito Santo,Março,1.0,2000-01-01,low
1717,2001,Espirito Santo,Março,2.0,2001-01-01,low
1718,2002,Espirito Santo,Março,4.0,2002-01-01,low
1719,2003,Espirito Santo,Março,28.0,2003-01-01,low
1720,2004,Espirito Santo,Março,3.0,2004-01-01,low
1721,2005,Espirito Santo,Março,3.0,2005-01-01,low
1722,2006,Espirito Santo,Março,14.0,2006-01-01,low
1723,2007,Espirito Santo,Março,9.0,2007-01-01,low
1724,2008,Espirito Santo,Março,5.0,2008-01-01,low
1725,2009,Espirito Santo,Março,11.0,2009-01-01,low
1726,2010,Espirito Santo,Março,3.0,2010-01-01,low
1727,2011,Espirito Santo,Março,5.0,2011-01-01,low
1728,2012,Espirito Santo,Março,35.0,2012-01-01,low
1729,2013,Espirito Santo,Março,13.0,2013-01-01,low
1730,2014,Espirito Santo,Março,15.0,2014-01-01,low
1731,2015,Espirito Santo,Março,25.0,2015-01-01,low
1732,2016,Espirito Santo,Março,107.0,2016-01-01,low
1733,2017,Espirito Santo,Março,9.0,2017-01-01,low
1734,1998,Espirito Santo,Abril,0.0,1998-01-01,low
1735,1999,Espirito Santo,Abril,2.0,1999-01-01,low
1736,2000,Espirito Santo,Abril,3.0,2000-01-01,low
1737,2001,Espirito Santo,Abril,2.0,2001-01-01,low
1738,2002,Espirito Santo,Abril,2.0,2002-01-01,low
1739,2003,Espirito Santo,Abril,22.0,2003-01-01,low
1740,2004,Espirito Santo,Abril,0.0,2004-01-01,low
1741,2005,Espirito Santo,Abril,4.0,2005-01-01,low
1742,2006,Espirito Santo,Abril,1.0,2006-01-01,low
1743,2007,Espirito Santo,Abril,2.0,2007-01-01,low
1744,2008,Espirito Santo,Abril,8.0,2008-01-01,low
1745,2009,Espirito Santo,Abril,8.0,2009-01-01,low
1746,2010,Espirito Santo,Abril,7.0,2010-01-01,low
1747,2011,Espirito Santo,Abril,3.0,2011-01-01,low
1748,2012,Espirito Santo,Abril,74.0,2012-01-01,low
1749,2013,Espirito Santo,Abril,16.0,2013-01-01,low
1750,2014,Espirito Santo,Abril,15.0,2014-01-01,low
1751,2015,Espirito Santo,Abril,33.0,2015-01-01,low
1752,2016,Espirito Santo,Abril,57.0,2016-01-01,low
1753,2017,Espirito Santo,Abril,7.0,2017-01-01,low
1754,1998,Espirito Santo,Maio,0.0,1998-01-01,low
1755,1999,Espirito Santo,Maio,16.0,1999-01-01,low
1756,2000,Espirito Santo,Maio,2.0,2000-01-01,low
1757,2001,Espirito Santo,Maio,8.0,2001-01-01,low
1758,2002,Espirito Santo,Maio,5.0,2002-01-01,low
1759,2003,Espirito Santo,Maio,1.0,2003-01-01,low
1760,2004,Espirito Santo,Maio,0.0,2004-01-01,low
1761,2005,Espirito Santo,Maio,5.0,2005-01-01,low
1762,2006,Espirito Santo,Maio,0.0,2006-01-01,low
1763,2007,Espirito Santo,Maio,1.0,2007-01-01,low
1764,2008,Espirito Santo,Maio,2.0,2008-01-01,low
1765,2009,Espirito Santo,Maio,7.0,2009-01-01,low
1766,2010,Espirito Santo,Maio,3.0,2010-01-01,low
1767,2011,Espirito Santo,Maio,2.0,2011-01-01,low
1768,2012,Espirito Santo,Maio,20.0,2012-01-01,low
1769,2013,Espirito Santo,Maio,14.0,2013-01-01,low
1770,2014,Espirito Santo,Maio,18.0,2014-01-01,low
1771,2015,Espirito Santo,Maio,17.0,2015-01-01,low
1772,2016,Espirito Santo,Maio,48.0,2016-01-01,low
1773,2017,Espirito Santo,Maio,10.0,2017-01-01,low
1774,1998,Espirito Santo,Junho,6.0,1998-01-01,low
1775,1999,Espirito Santo,Junho,6.0,1999-01-01,low
1776,2000,Espirito Santo,Junho,9.0,2000-01-01,low
1777,2001,Espirito Santo,Junho,9.0,2001-01-01,low
1778,2002,Espirito Santo,Junho,18.0,2002-01-01,low
1779,2003,Espirito Santo,Junho,19.0,2003-01-01,low
1780,2004,Espirito Santo,Junho,3.0,2004-01-01,low
1781,2005,Espirito Santo,Junho,8.0,2005-01-01,low
1782,2006,Espirito Santo,Junho,5.0,2006-01-01,low
1783,2007,Espirito Santo,Junho,4.0,2007-01-01,low
1784,2008,Espirito Santo,Junho,4.0,2008-01-01,low
1785,2009,Espirito Santo,Junho,12.0,2009-01-01,low
1786,2010,Espirito Santo,Junho,3.0,2010-01-01,low
1787,2011,Espirito Santo,Junho,7.0,2011-01-01,low
1788,2012,Espirito Santo,Junho,15.0,2012-01-01,low
1789,2013,Espirito Santo,Junho,22.0,2013-01-01,low
1790,2014,Espirito Santo,Junho,9.0,2014-01-01,low
1791,2015,Espirito Santo,Junho,18.0,2015-01-01,low
1792,2016,Espirito Santo,Junho,49.0,2016-01-01,low
1793,2017,Espirito Santo,Junho,37.0,2017-01-01,low
1794,1998,Espirito Santo,Julho,37.0,1998-01-01,low
1795,1999,Espirito Santo,Julho,9.0,1999-01-01,low
1796,2000,Espirito Santo,Julho,16.0,2000-01-01,low
1797,2001,Espirito Santo,Julho,12.0,2001-01-01,low
1798,2002,Espirito Santo,Julho,9.0,2002-01-01,low
1799,2003,Espirito Santo,Julho,27.0,2003-01-01,low
1800,2004,Espirito Santo,Julho,4.0,2004-01-01,low
1801,2005,Espirito Santo,Julho,9.0,2005-01-01,low
1802,2006,Espirito Santo,Julho,11.0,2006-01-01,low
1803,2007,Espirito Santo,Julho,13.0,2007-01-01,low
1804,2008,Espirito Santo,Julho,5.0,2008-01-01,low
1805,2009,Espirito Santo,Julho,25.0,2009-01-01,low
1806,2010,Espirito Santo,Julho,5.0,2010-01-01,low
1807,2011,Espirito Santo,Julho,18.0,2011-01-01,low
1808,2012,Espirito Santo,Julho,35.0,2012-01-01,low
1809,2013,Espirito Santo,Julho,20.0,2013-01-01,low
1810,2014,Espirito Santo,Julho,17.0,2014-01-01,low
1811,2015,Espirito Santo,Julho,30.0,2015-01-01,low
1812,2016,Espirito Santo,Julho,42.0,2016-01-01,low
1813,2017,Espirito Santo,Julho,3.0,2017-01-01,low
1814,1998,Espirito Santo,Agosto,38.0,1998-01-01,low
1815,1999,Espirito Santo,Agosto,60.0,1999-01-01,low
1816,2000,Espirito Santo,Agosto,26.0,2000-01-01,low
1817,2001,Espirito Santo,Agosto,30.0,2001-01-01,low
1818,2002,Espirito Santo,Agosto,60.0,2002-01-01,low
1819,2003,Espirito Santo,Agosto,118.0,2003-01-01,low
1820,2004,Espirito Santo,Agosto,12.0,2004-01-01,low
1821,2005,Espirito Santo,Agosto,12.0,2005-01-01,low
1822,2006,Espirito Santo,Agosto,29.0,2006-01-01,low
1823,2007,Espirito Santo,Agosto,82.0,2007-01-01,low
1824,2008,Espirito Santo,Agosto,13.0,2008-01-01,low
1825,2009,Espirito Santo,Agosto,17.0,2009-01-01,low
1826,2010,Espirito Santo,Agosto,39.0,2010-01-01,low
1827,2011,Espirito Santo,Agosto,93.0,2011-01-01,low
1828,2012,Espirito Santo,Agosto,12.0,2012-01-01,low
1829,2013,Espirito Santo,Agosto,53.0,2013-01-01,low
1830,2014,Espirito Santo,Agosto,47.0,2014-01-01,low
1831,2015,Espirito Santo,Agosto,35.0,2015-01-01,low
1832,2016,Espirito Santo,Agosto,78.0,2016-01-01,low
1833,2017,Espirito Santo,Agosto,30.0,2017-01-01,low
1834,1998,Espirito Santo,Setembro,108.0,1998-01-01,low
1835,1999,Espirito Santo,Setembro,64.0,1999-01-01,low
1836,2000,Espirito Santo,Setembro,14.0,2000-01-01,low
1837,2001,Espirito Santo,Setembro,38.0,2001-01-01,low
1838,2002,Espirito Santo,Setembro,46.0,2002-01-01,low
1839,2003,Espirito Santo,Setembro,252.0,2003-01-01,low
1840,2004,Espirito Santo,Setembro,47.0,2004-01-01,low
1841,2005,Espirito Santo,Setembro,8.0,2005-01-01,low
1842,2006,Espirito Santo,Setembro,87.0,2006-01-01,low
1843,2007,Espirito Santo,Setembro,63.0,2007-01-01,low
1844,2008,Espirito Santo,Setembro,78.0,2008-01-01,low
1845,2009,Espirito Santo,Setembro,57.0,2009-01-01,low
1846,2010,Espirito Santo,Setembro,53.0,2010-01-01,low
1847,2011,Espirito Santo,Setembro,108.0,2011-01-01,low
1848,2012,Espirito Santo,Setembro,48.0,2012-01-01,low
1849,2013,Espirito Santo,Setembro,30.0,2013-01-01,low
1850,2014,Espirito Santo,Setembro,61.0,2014-01-01,low
1851,2015,Espirito Santo,Setembro,228.0,2015-01-01,low
1852,2016,Espirito Santo,Setembro,128.0,2016-01-01,low
1853,2017,Espirito Santo,Setembro,58.0,2017-01-01,low
1854,1998,Espirito Santo,Outubro,20.0,1998-01-01,low
1855,1999,Espirito Santo,Outubro,23.0,1999-01-01,low
1856,2000,Espirito Santo,Outubro,88.0,2000-01-01,low
1857,2001,Espirito Santo,Outubro,19.0,2001-01-01,low
1858,2002,Espirito Santo,Outubro,113.0,2002-01-01,low
1859,2003,Espirito Santo,Outubro,159.0,2003-01-01,low
1860,2004,Espirito Santo,Outubro,48.0,2004-01-01,low
1861,2005,Espirito Santo,Outubro,62.0,2005-01-01,low
1862,2006,Espirito Santo,Outubro,10.0,2006-01-01,low
1863,2007,Espirito Santo,Outubro,79.0,2007-01-01,low
1864,2008,Espirito Santo,Outubro,100.0,2008-01-01,low
1865,2009,Espirito Santo,Outubro,13.0,2009-01-01,low
1866,2010,Espirito Santo,Outubro,32.0,2010-01-01,low
1867,2011,Espirito Santo,Outubro,38.0,2011-01-01,low
1868,2012,Espirito Santo,Outubro,62.0,2012-01-01,low
1869,2013,Espirito Santo,Outubro,37.0,2013-01-01,low
1870,2014,Espirito Santo,Outubro,89.0,2014-01-01,low
1871,2015,Espirito Santo,Outubro,307.0,2015-01-01,low
1872,2016,Espirito Santo,Outubro,58.0,2016-01-01,low
1873,2017,Espirito Santo,Outubro,56.0,2017-01-01,low
1874,1998,Espirito Santo,Novembro,4.0,1998-01-01,low
1875,1999,Espirito Santo,Novembro,9.0,1999-01-01,low
1876,2000,Espirito Santo,Novembro,3.0,2000-01-01,low
1877,2001,Espirito Santo,Novembro,3.0,2001-01-01,low
1878,2002,Espirito Santo,Novembro,22.0,2002-01-01,low
1879,2003,Espirito Santo,Novembro,49.0,2003-01-01,low
1880,2004,Espirito Santo,Novembro,42.0,2004-01-01,low
1881,2005,Espirito Santo,Novembro,0.0,2005-01-01,low
1882,2006,Espirito Santo,Novembro,0.0,2006-01-01,low
1883,2007,Espirito Santo,Novembro,112.0,2007-01-01,low
1884,2008,Espirito Santo,Novembro,3.0,2008-01-01,low
1885,2009,Espirito Santo,Novembro,18.0,2009-01-01,low
1886,2010,Espirito Santo,Novembro,3.0,2010-01-01,low
1887,2011,Espirito Santo,Novembro,6.0,2011-01-01,low
1888,2012,Espirito Santo,Novembro,7.0,2012-01-01,low
1889,2013,Espirito Santo,Novembro,11.0,2013-01-01,low
1890,2014,Espirito Santo,Novembro,20.0,2014-01-01,low
1891,2015,Espirito Santo,Novembro,141.0,2015-01-01,low
1892,2016,Espirito Santo,Novembro,8.0,2016-01-01,low
1893,2017,Espirito Santo,Novembro,3.0,2017-01-01,low
1894,1998,Espirito Santo,Dezembro,5.0,1998-01-01,low
1895,1999,Espirito Santo,Dezembro,0.0,1999-01-01,low
1896,2000,Espirito Santo,Dezembro,3.0,2000-01-01,low
1897,2001,Espirito Santo,Dezembro,1.0,2001-01-01,low
1898,2002,Espirito Santo,Dezembro,12.0,2002-01-01,low
1899,2003,Espirito Santo,Dezembro,18.0,2003-01-01,low
1900,2004,Espirito Santo,Dezembro,9.0,2004-01-01,low
1901,2005,Espirito Santo,Dezembro,5.0,2005-01-01,low
1902,2006,Espirito Santo,Dezembro,0.0,2006-01-01,low
1903,2007,Espirito Santo,Dezembro,14.0,2007-01-01,low
1904,2008,Espirito Santo,Dezembro,1.0,2008-01-01,low
1905,2009,Espirito Santo,Dezembro,32.0,2009-01-01,low
1906,2010,Espirito Santo,Dezembro,10.0,2010-01-01,low
1907,2011,Espirito Santo,Dezembro,1.0,2011-01-01,low
1908,2012,Espirito Santo,Dezembro,18.0,2012-01-01,low
1909,2013,Espirito Santo,Dezembro,9.0,2013-01-01,low
1910,2014,Espirito Santo,Dezembro,28.0,2014-01-01,low
1911,2015,Espirito Santo,Dezembro,61.0,2015-01-01,low
1912,2016,Espirito Santo,Dezembro,12.0,2016-01-01,low
1913,1998,Goias,Janeiro,0.0,1998-01-01,low
1914,1999,Goias,Janeiro,14.0,1999-01-01,low
1915,2000,Goias,Janeiro,10.0,2000-01-01,low
1916,2001,Goias,Janeiro,29.0,2001-01-01,low
1917,2002,Goias,Janeiro,12.0,2002-01-01,low
1918,2003,Goias,Janeiro,14.0,2003-01-01,low
1919,2004,Goias,Janeiro,10.0,2004-01-01,low
1920,2005,Goias,Janeiro,27.0,2005-01-01,low
1921,2006,Goias,Janeiro,85.0,2006-01-01,low
1922,2007,Goias,Janeiro,28.0,2007-01-01,low
1923,2008,Goias,Janeiro,23.0,2008-01-01,low
1924,2009,Goias,Janeiro,30.0,2009-01-01,low
1925,2010,Goias,Janeiro,59.0,2010-01-01,low
1926,2011,Goias,Janeiro,39.0,2011-01-01,low
1927,2012,Goias,Janeiro,21.0,2012-01-01,low
1928,2013,Goias,Janeiro,33.0,2013-01-01,low
1929,2014,Goias,Janeiro,80.0,2014-01-01,low
1930,2015,Goias,Janeiro,118.0,2015-01-01,low
1931,2016,Goias,Janeiro,52.0,2016-01-01,low
1932,2017,Goias,Janeiro,53.0,2017-01-01,low
1933,1998,Goias,Fevereiro,0.0,1998-01-01,low
1934,1999,Goias,Fevereiro,334.0,1999-01-01,low
1935,2000,Goias,Fevereiro,11.0,2000-01-01,low
1936,2001,Goias,Fevereiro,9.0,2001-01-01,low
1937,2002,Goias,Fevereiro,9.0,2002-01-01,low
1938,2003,Goias,Fevereiro,47.0,2003-01-01,low
1939,2004,Goias,Fevereiro,11.0,2004-01-01,low
1940,2005,Goias,Fevereiro,84.0,2005-01-01,low
1941,2006,Goias,Fevereiro,21.0,2006-01-01,low
1942,2007,Goias,Fevereiro,13.0,2007-01-01,low
1943,2008,Goias,Fevereiro,25.0,2008-01-01,low
1944,2009,Goias,Fevereiro,29.0,2009-01-01,low
1945,2010,Goias,Fevereiro,86.0,2010-01-01,low
1946,2011,Goias,Fevereiro,45.0,2011-01-01,low
1947,2012,Goias,Fevereiro,37.0,2012-01-01,low
1948,2013,Goias,Fevereiro,86.0,2013-01-01,low
1949,2014,Goias,Fevereiro,44.0,2014-01-01,low
1950,2015,Goias,Fevereiro,53.0,2015-01-01,low
1951,2016,Goias,Fevereiro,117.0,2016-01-01,low
1952,2017,Goias,Fevereiro,75.0,2017-01-01,low
1953,1998,Goias,Março,0.0,1998-01-01,low
1954,1999,Goias,Março,1.0,1999-01-01,low
1955,2000,Goias,Março,4.0,2000-01-01,low
1956,2001,Goias,Março,10.0,2001-01-01,low
1957,2002,Goias,Março,48.0,2002-01-01,low
1958,2003,Goias,Março,29.0,2003-01-01,low
1959,2004,Goias,Março,36.0,2004-01-01,low
1960,2005,Goias,Março,36.0,2005-01-01,low
1961,2006,Goias,Março,29.0,2006-01-01,low
1962,2007,Goias,Março,49.0,2007-01-01,low
1963,2008,Goias,Março,20.0,2008-01-01,low
1964,2009,Goias,Março,32.0,2009-01-01,low
1965,2010,Goias,Março,65.0,2010-01-01,low
1966,2011,Goias,Março,19.0,2011-01-01,low
1967,2012,Goias,Março,57.0,2012-01-01,low
1968,2013,Goias,Março,79.0,2013-01-01,low
1969,2014,Goias,Março,80.0,2014-01-01,low
1970,2015,Goias,Março,76.0,2015-01-01,low
1971,2016,Goias,Março,136.0,2016-01-01,low
1972,2017,Goias,Março,115.0,2017-01-01,low
1973,1998,Goias,Abril,0.0,1998-01-01,low
1974,1999,Goias,Abril,25.0,1999-01-01,low
1975,2000,Goias,Abril,16.0,2000-01-01,low
1976,2001,Goias,Abril,49.0,2001-01-01,low
1977,2002,Goias,Abril,78.0,2002-01-01,low
1978,2003,Goias,Abril,87.0,2003-01-01,low
1979,2004,Goias,Abril,32.0,2004-01-01,low
1980,2005,Goias,Abril,55.0,2005-01-01,low
1981,2006,Goias,Abril,22.0,2006-01-01,low
1982,2007,Goias,Abril,17.0,2007-01-01,low
1983,2008,Goias,Abril,36.0,2008-01-01,low
1984,2009,Goias,Abril,11.0,2009-01-01,low
1985,2010,Goias,Abril,105.0,2010-01-01,low
1986,2011,Goias,Abril,71.0,2011-01-01,low
1987,2012,Goias,Abril,89.0,2012-01-01,low
1988,2013,Goias,Abril,42.0,2013-01-01,low
1989,2014,Goias,Abril,138.0,2014-01-01,low
1990,2015,Goias,Abril,89.0,2015-01-01,low
1991,2016,Goias,Abril,167.0,2016-01-01,low
1992,2017,Goias,Abril,60.0,2017-01-01,low
1993,1998,Goias,Maio,0.0,1998-01-01,low
1994,1999,Goias,Maio,99.0,1999-01-01,low
1995,2000,Goias,Maio,58.0,2000-01-01,low
1996,2001,Goias,Maio,85.0,2001-01-01,low
1997,2002,Goias,Maio,171.0,2002-01-01,low
1998,2003,Goias,Maio,57.0,2003-01-01,low
1999,2004,Goias,Maio,157.0,2004-01-01,low
2000,2005,Goias,Maio,164.0,2005-01-01,low
2001,2006,Goias,Maio,33.0,2006-01-01,low
2002,2007,Goias,Maio,94.0,2007-01-01,low
2003,2008,Goias,Maio,41.0,2008-01-01,low
2004,2009,Goias,Maio,104.0,2009-01-01,low
2005,2010,Goias,Maio,239.0,2010-01-01,low
2006,2011,Goias,Maio,136.0,2011-01-01,low
2007,2012,Goias,Maio,103.0,2012-01-01,low
2008,2013,Goias,Maio,150.0,2013-01-01,low
2009,2014,Goias,Maio,210.0,2014-01-01,low
2010,2015,Goias,Maio,129.0,2015-01-01,low
2011,2016,Goias,Maio,233.0,2016-01-01,low
2012,2017,Goias,Maio,135.0,2017-01-01,low
2013,1998,Goias,Junho,172.0,1998-01-01,low
2014,1999,Goias,Junho,250.0,1999-01-01,low
2015,2000,Goias,Junho,222.0,2000-01-01,low
2016,2001,Goias,Junho,212.0,2001-01-01,low
2017,2002,Goias,Junho,302.0,2002-01-01,low
2018,2003,Goias,Junho,321.0,2003-01-01,low
2019,2004,Goias,Junho,422.0,2004-01-01,medium
2020,2005,Goias,Junho,189.0,2005-01-01,low
2021,2006,Goias,Junho,70.0,2006-01-01,low
2022,2007,Goias,Junho,186.0,2007-01-01,low
2023,2008,Goias,Junho,55.0,2008-01-01,low
2024,2009,Goias,Junho,179.0,2009-01-01,low
2025,2010,Goias,Junho,278.0,2010-01-01,low
2026,2011,Goias,Junho,314.0,2011-01-01,low
2027,2012,Goias,Junho,245.0,2012-01-01,low
2028,2013,Goias,Junho,192.0,2013-01-01,low
2029,2014,Goias,Junho,318.0,2014-01-01,low
2030,2015,Goias,Junho,277.0,2015-01-01,low
2031,2016,Goias,Junho,289.0,2016-01-01,low
2032,2017,Goias,Junho,442.0,2017-01-01,medium
2033,1998,Goias,Julho,512.0,1998-01-01,medium
2034,1999,Goias,Julho,311.0,1999-01-01,low
2035,2000,Goias,Julho,332.0,2000-01-01,low
2036,2001,Goias,Julho,371.0,2001-01-01,low
2037,2002,Goias,Julho,686.0,2002-01-01,medium
